Player Name,Team,Minutes Played,Player Link
Cooper Flagg,DUKE,849,https://www.espn.com/mens-college-basketball/player/_/id/5041939/cooper-flagg
Kon Knueppel,DUKE,795,https://www.espn.com/mens-college-basketball/player/_/id/5061575/kon-knueppel
Tyrese Proctor,DUKE,802,https://www.espn.com/mens-college-basketball/player/_/id/5023693/tyrese-proctor
Sion James,DUKE,658,https://www.espn.com/mens-college-basketball/player/_/id/4602025/sion-james
Khaman Maluach,DUKE,552,https://www.espn.com/mens-college-basketball/player/_/id/5203685/khaman-maluach
Isaiah Evans,DUKE,319,https://www.espn.com/mens-college-basketball/player/_/id/5061585/isaiah-evans
Caleb Foster,DUKE,393,https://www.espn.com/mens-college-basketball/player/_/id/4711256/caleb-foster
Mason Gillis,DUKE,365,https://www.espn.com/mens-college-basketball/player/_/id/4431753/mason-gillis
Patrick Ngongba II,DUKE,171,https://www.espn.com/mens-college-basketball/player/_/id/4873209/patrick-ngongba-ii
Maliq Brown,DUKE,366,https://www.espn.com/mens-college-basketball/player/_/id/5105337/maliq-brown
Darren Harris,DUKE,85,https://www.espn.com/mens-college-basketball/player/_/id/4873107/darren-harris
Spencer Hubbard,DUKE,16,https://www.espn.com/mens-college-basketball/player/_/id/4897108/spencer-hubbard
Neal Begovich,DUKE,15,https://www.espn.com/mens-college-basketball/player/_/id/4431890/neal-begovich
Cameron Sheffield,DUKE,14,https://www.espn.com/mens-college-basketball/player/_/id/4432321/cameron-sheffield
Stanley Borden,DUKE,2,https://www.espn.com/mens-college-basketball/player/_/id/4897107/stanley-borden
