Player Name,Team,Minutes Played,Player Link
Tre Dinkins,DUQUESNE,764,https://www.espn.com/mens-college-basketball/player/_/id/5107176/tre-dinkins
Jake DiMichele,DUQUESNE,170,https://www.espn.com/mens-college-basketball/player/_/id/5174586/jake-dimichele
Jahsean Corbett,DUQUESNE,737,https://www.espn.com/mens-college-basketball/player/_/id/4896860/jahsean-corbett
Cam Crawford,DUQUESNE,532,https://www.espn.com/mens-college-basketball/player/_/id/4897466/cam-crawford
Maximus Edwards,DUQUESNE,503,https://www.espn.com/mens-college-basketball/player/_/id/4897708/maximus-edwards
Kareem Rozier,DUQUESNE,739,https://www.espn.com/mens-college-basketball/player/_/id/5105885/kareem-rozier
David Dixon,DUQUESNE,506,https://www.espn.com/mens-college-basketball/player/_/id/5105881/david-dixon
Jakub Necas,DUQUESNE,553,https://www.espn.com/mens-college-basketball/player/_/id/5174582/jakub-necas
Matúš Hronský,DUQUESNE,463,https://www.espn.com/mens-college-basketball/player/_/id/5105883/matus-hronsky
Halil Barre,DUQUESNE,198,https://www.espn.com/mens-college-basketball/player/_/id/5105882/halil-barre
Eli Wilborn,DUQUESNE,246,https://www.espn.com/mens-college-basketball/player/_/id/5177286/eli-wilborn
Lucas Prolla,DUQUESNE,11,https://www.espn.com/mens-college-basketball/player/_/id/5239527/lucas-prolla
