Player Name,Team,Minutes Played,Player Link
C.J. Walker,EAST CAROLINA,859,https://www.espn.com/mens-college-basketball/player/_/id/4592403/cj-walker
RJ Felton,EAST CAROLINA,925,https://www.espn.com/mens-college-basketball/player/_/id/4708215/rj-felton
Jordan Riley,EAST CAROLINA,900,https://www.espn.com/mens-college-basketball/player/_/id/4683942/jordan-riley
Cam Hayes,EAST CAROLINA,791,https://www.espn.com/mens-college-basketball/player/_/id/4701837/cam-hayes
Jayshayne Woodard,EAST CAROLINA,563,https://www.espn.com/mens-college-basketball/player/_/id/5239830/jayshayne-woodard
Yann Farell,EAST CAROLINA,513,https://www.espn.com/mens-college-basketball/player/_/id/5239831/yann-farell
Julien Soumaoro,EAST CAROLINA,132,https://www.espn.com/mens-college-basketball/player/_/id/4897626/julien-soumaoro
Trevion LaBeaux,EAST CAROLINA,522,https://www.espn.com/mens-college-basketball/player/_/id/5239835/trevion-labeaux
Tybo Bailey,EAST CAROLINA,52,https://www.espn.com/mens-college-basketball/player/_/id/5239833/tybo-bailey
Callum Richard,EAST CAROLINA,10,https://www.espn.com/mens-college-basketball/player/_/id/5175056/callum-richard
Cyr Malonga,EAST CAROLINA,117,https://www.espn.com/mens-college-basketball/player/_/id/5175054/cyr-malonga
Reid Cason,EAST CAROLINA,82,https://www.espn.com/mens-college-basketball/player/_/id/5239834/reid-cason
Bencao Vungo,EAST CAROLINA,26,https://www.espn.com/mens-college-basketball/player/_/id/5196348/bencao-vungo
Grant Smith,EAST CAROLINA,8,https://www.espn.com/mens-college-basketball/player/_/id/5175055/grant-smith
