Player Name,Team,Minutes Played,Player Link
Quimari Peterson,EAST TENNESSEE STATE,987,https://www.espn.com/mens-college-basketball/player/_/id/4897465/quimari-peterson
Jaden Seymour,EAST TENNESSEE STATE,824,https://www.espn.com/mens-college-basketball/player/_/id/4432433/jaden-seymour
John Buggs III,EAST TENNESSEE STATE,753,https://www.espn.com/mens-college-basketball/player/_/id/4592451/john-buggs-iii
Karon Boyd,EAST TENNESSEE STATE,855,https://www.espn.com/mens-college-basketball/player/_/id/5176140/karon-boyd
Maki Johnson,EAST TENNESSEE STATE,487,https://www.espn.com/mens-college-basketball/player/_/id/4845380/maki-johnson
Curt Lewis,EAST TENNESSEE STATE,111,https://www.espn.com/mens-college-basketball/player/_/id/4593474/curt-lewis
Gabe Sisk,EAST TENNESSEE STATE,353,https://www.espn.com/mens-college-basketball/player/_/id/4711273/gabe-sisk
Allen Strothers,EAST TENNESSEE STATE,503,https://www.espn.com/mens-college-basketball/player/_/id/4897387/allen-strothers
Roosevelt Wheeler,EAST TENNESSEE STATE,217,https://www.espn.com/mens-college-basketball/player/_/id/4683744/roosevelt-wheeler
Davion Bradford,EAST TENNESSEE STATE,260,https://www.espn.com/mens-college-basketball/player/_/id/4700530/davion-bradford
DJ Hughes,EAST TENNESSEE STATE,410,https://www.espn.com/mens-college-basketball/player/_/id/4684308/dj-hughes
David Meriwether,EAST TENNESSEE STATE,14,https://www.espn.com/mens-college-basketball/player/_/id/5176143/david-meriwether
Jaxson Jones,EAST TENNESSEE STATE,13,https://www.espn.com/mens-college-basketball/player/_/id/5176142/jaxson-jones
Timmy Fasehun,EAST TENNESSEE STATE,13,https://www.espn.com/mens-college-basketball/player/_/id/5176141/timmy-fasehun
