Player Name,Team,Minutes Played,Player Link
Nakyel Shelton,EASTERN ILLINOIS,919,https://www.espn.com/mens-college-basketball/player/_/id/5177341/nakyel-shelton
Kooper Jacobi,EASTERN ILLINOIS,969,https://www.espn.com/mens-college-basketball/player/_/id/4898343/kooper-jacobi
Zion Fruster,EASTERN ILLINOIS,833,https://www.espn.com/mens-college-basketball/player/_/id/5242420/zion-fruster
Artese Stapleton,EASTERN ILLINOIS,622,https://www.espn.com/mens-college-basketball/player/_/id/4708648/artese-stapleton
Obadiah Curtis,EASTERN ILLINOIS,436,https://www.espn.com/mens-college-basketball/player/_/id/5176766/obadiah-curtis
Corey Sawyer Jr.,EASTERN ILLINOIS,268,https://www.espn.com/mens-college-basketball/player/_/id/5177340/corey-sawyer-jr
Isaiah Griffin,EASTERN ILLINOIS,39,https://www.espn.com/mens-college-basketball/player/_/id/5177342/isaiah-griffin
Malik Olafioye,EASTERN ILLINOIS,458,https://www.espn.com/mens-college-basketball/player/_/id/5177742/malik-olafioye
Blake Goodman,EASTERN ILLINOIS,103,https://www.espn.com/mens-college-basketball/player/_/id/5111659/blake-goodman
Rodolfo Bolis,EASTERN ILLINOIS,530,https://www.espn.com/mens-college-basketball/player/_/id/4897268/rodolfo-bolis
Lazar Grbovic,EASTERN ILLINOIS,165,https://www.espn.com/mens-college-basketball/player/_/id/4702131/lazar-grbovic
Terry McMorris,EASTERN ILLINOIS,110,https://www.espn.com/mens-college-basketball/player/_/id/5242423/terry-mcmorris
Sekou Kalle,EASTERN ILLINOIS,176,https://www.espn.com/mens-college-basketball/player/_/id/4898277/sekou-kalle
Jackson Connor,EASTERN ILLINOIS,41,https://www.espn.com/mens-college-basketball/player/_/id/5242422/jackson-connor
Carson Prost,EASTERN ILLINOIS,157,https://www.espn.com/mens-college-basketball/player/_/id/5177344/carson-prost
Kam O'Connor,EASTERN ILLINOIS,21,https://www.espn.com/mens-college-basketball/player/_/id/5242421/kam-oconnor
