Player Name,Team,Minutes Played,Player Link
George Kimble III,EASTERN KENTUCKY,742,https://www.espn.com/mens-college-basketball/player/_/id/5239784/george-kimble-iii
Devontae Blanton,EASTERN KENTUCKY,1002,https://www.espn.com/mens-college-basketball/player/_/id/4703234/devontae-blanton
Mayar Wol,EASTERN KENTUCKY,688,https://www.espn.com/mens-college-basketball/player/_/id/5102799/mayar-wol
Turner Buttry,EASTERN KENTUCKY,732,https://www.espn.com/mens-college-basketball/player/_/id/5106705/turner-buttry
Jordan Crawford,EASTERN KENTUCKY,595,https://www.espn.com/mens-college-basketball/player/_/id/5105758/jordan-crawford
Jackson Holt,EASTERN KENTUCKY,571,https://www.espn.com/mens-college-basketball/player/_/id/5106707/jackson-holt
Montavious Myrick,EASTERN KENTUCKY,677,https://www.espn.com/mens-college-basketball/player/_/id/4898333/montavious-myrick
Tyler Andrews,EASTERN KENTUCKY,238,https://www.espn.com/mens-college-basketball/player/_/id/5109034/tyler-andrews
Yvens Paul,EASTERN KENTUCKY,296,https://www.espn.com/mens-college-basketball/player/_/id/5239788/yvens-paul
Cyril Martynov,EASTERN KENTUCKY,196,https://www.espn.com/mens-college-basketball/player/_/id/5105432/cyril-martynov
Micah Davis,EASTERN KENTUCKY,45,https://www.espn.com/mens-college-basketball/player/_/id/5239785/micah-davis
DJ Nussbaum,EASTERN KENTUCKY,94,https://www.espn.com/mens-college-basketball/player/_/id/4703872/dj-nussbaum
Robby Todd,EASTERN KENTUCKY,15,https://www.espn.com/mens-college-basketball/player/_/id/5175865/robby-todd
Reece Holbrook,EASTERN KENTUCKY,3,https://www.espn.com/mens-college-basketball/player/_/id/5239787/reece-holbrook
James Mayor,EASTERN KENTUCKY,4,https://www.espn.com/mens-college-basketball/player/_/id/5239789/james-mayor
