Player Name,Team,Minutes Played,Player Link
Jalen Terry,EASTERN MICHIGAN,968,https://www.espn.com/mens-college-basketball/player/_/id/4702387/jalen-terry
Da'Sean Nelson,EASTERN MICHIGAN,789,https://www.espn.com/mens-college-basketball/player/_/id/5105583/dasean-nelson
Christian Henry,EASTERN MICHIGAN,949,https://www.espn.com/mens-college-basketball/player/_/id/5242936/christian-henry
Jalin Billingsley,EASTERN MICHIGAN,663,https://www.espn.com/mens-college-basketball/player/_/id/4687376/jalin-billingsley
Arne Osojnik,EASTERN MICHIGAN,675,https://www.espn.com/mens-college-basketball/player/_/id/5176190/arne-osojnik
Yusuf Jihad,EASTERN MICHIGAN,295,https://www.espn.com/mens-college-basketball/player/_/id/4593347/yusuf-jihad
Trey Pettigrew,EASTERN MICHIGAN,242,https://www.espn.com/mens-college-basketball/player/_/id/4712835/trey-pettigrew
Dillon Tingler,EASTERN MICHIGAN,319,https://www.espn.com/mens-college-basketball/player/_/id/5101666/dillon-tingler
Godslove Nwabude,EASTERN MICHIGAN,192,https://www.espn.com/mens-college-basketball/player/_/id/5242935/godslove-nwabude
John Shanu II,EASTERN MICHIGAN,223,https://www.espn.com/mens-college-basketball/player/_/id/4703097/john-shanu-ii
Mario Brunetto,EASTERN MICHIGAN,15,https://www.espn.com/mens-college-basketball/player/_/id/5242933/mario-brunetto
Cooper Smith,EASTERN MICHIGAN,7,https://www.espn.com/mens-college-basketball/player/_/id/4401637/cooper-smith
Julian Lewis,EASTERN MICHIGAN,110,https://www.espn.com/mens-college-basketball/player/_/id/4897717/julian-lewis
Mbaye N'Diaye,EASTERN MICHIGAN,1,https://www.espn.com/mens-college-basketball/player/_/id/5242934/mbaye-ndiaye
