Player Name,Team,Minutes Played,Player Link
Andrew Cook,EASTERN WASHINGTON,824,https://www.espn.com/mens-college-basketball/player/_/id/4906817/andrew-cook
Mason Williams,EASTERN WASHINGTON,627,https://www.espn.com/mens-college-basketball/player/_/id/5175370/mason-williams
Nic McClain,EASTERN WASHINGTON,709,https://www.espn.com/mens-college-basketball/player/_/id/5175371/nic-mcclain
Sebastian Hartmann,EASTERN WASHINGTON,790,https://www.espn.com/mens-college-basketball/player/_/id/5175372/sebastian-hartmann
Emmett Marquardt,EASTERN WASHINGTON,641,https://www.espn.com/mens-college-basketball/player/_/id/5175374/emmett-marquardt
Vice Zanki,EASTERN WASHINGTON,488,https://www.espn.com/mens-college-basketball/player/_/id/5175375/vice-zanki
Tyler Powell,EASTERN WASHINGTON,487,https://www.espn.com/mens-college-basketball/player/_/id/4684146/tyler-powell
Elijah Thomas,EASTERN WASHINGTON,295,https://www.espn.com/mens-college-basketball/player/_/id/5241164/elijah-thomas
Angelo Winkel,EASTERN WASHINGTON,132,https://www.espn.com/mens-college-basketball/player/_/id/5241162/angelo-winkel
Jackson Seale,EASTERN WASHINGTON,77,https://www.espn.com/mens-college-basketball/player/_/id/5175373/jackson-seale
Sam Stockton,EASTERN WASHINGTON,355,https://www.espn.com/mens-college-basketball/player/_/id/5241165/sam-stockton
Pavlo Dziuba,EASTERN WASHINGTON,123,https://www.espn.com/mens-college-basketball/player/_/id/4702377/pavlo-dziuba
Shaumba Ngoyi,EASTERN WASHINGTON,53,https://www.espn.com/mens-college-basketball/player/_/id/5107196/shaumba-ngoyi
