Player Name,Team,Minutes Played,Player Link
TK Simpkins,ELON,690,https://www.espn.com/mens-college-basketball/player/_/id/5174937/tk-simpkins
Nick Dorn,ELON,770,https://www.espn.com/mens-college-basketball/player/_/id/5174935/nick-dorn
TJ Simpkins,ELON,816,https://www.espn.com/mens-college-basketball/player/_/id/5239637/tj-simpkins
Sam Sherry,ELON,863,https://www.espn.com/mens-college-basketball/player/_/id/4897697/sam-sherry
Matthew Van Komen,ELON,671,https://www.espn.com/mens-college-basketball/player/_/id/4432858/matthew-van-komen
Brayden Crump,ELON,392,https://www.espn.com/mens-college-basketball/player/_/id/4873137/brayden-crump
Andrew King,ELON,729,https://www.espn.com/mens-college-basketball/player/_/id/5107307/andrew-king
Isaac Harrell,ELON,568,https://www.espn.com/mens-college-basketball/player/_/id/5174938/isaac-harrell
Ned Hull,ELON,14,https://www.espn.com/mens-college-basketball/player/_/id/5174940/ned-hull
Jameel Rideout,ELON,68,https://www.espn.com/mens-college-basketball/player/_/id/5239639/jameel-rideout
Deandre Smart,ELON,25,https://www.espn.com/mens-college-basketball/player/_/id/5105789/deandre-smart
Trey O'Neil,ELON,50,https://www.espn.com/mens-college-basketball/player/_/id/5239638/trey-oneil
Kendall Campbell,ELON,142,https://www.espn.com/mens-college-basketball/player/_/id/4712861/kendall-campbell
Austin Williams,ELON,26,https://www.espn.com/mens-college-basketball/player/_/id/5105788/austin-williams
