Player Name,Team,Minutes Played,Player Link
Tayshawn Comer,EVANSVILLE,1034,https://www.espn.com/mens-college-basketball/player/_/id/5106706/tayshawn-comer
Gabriel Pozzato,EVANSVILLE,729,https://www.espn.com/mens-college-basketball/player/_/id/5241369/gabriel-pozzato
Cam Haffner,EVANSVILLE,604,https://www.espn.com/mens-college-basketball/player/_/id/5107700/cam-haffner
Connor Turnbull,EVANSVILLE,633,https://www.espn.com/mens-college-basketball/player/_/id/4888885/connor-turnbull
Tanner Cuff,EVANSVILLE,942,https://www.espn.com/mens-college-basketball/player/_/id/5177731/tanner-cuff
Joshua Hughes,EVANSVILLE,852,https://www.espn.com/mens-college-basketball/player/_/id/5177734/joshua-hughes
Michael Day,EVANSVILLE,239,https://www.espn.com/mens-college-basketball/player/_/id/5177739/michael-day
Weston Aigner,EVANSVILLE,21,https://www.espn.com/mens-college-basketball/player/_/id/5177740/weston-aigner
Ramondo Battle II,EVANSVILLE,36,https://www.espn.com/mens-college-basketball/player/_/id/5241371/ramondo-battle-ii
Gui Tesch,EVANSVILLE,288,https://www.espn.com/mens-college-basketball/player/_/id/5177737/gui-tesch
Dakota Candler,EVANSVILLE,6,https://www.espn.com/mens-college-basketball/player/_/id/5177738/dakota-candler
Kaia Berridge,EVANSVILLE,327,https://www.espn.com/mens-college-basketball/player/_/id/5241370/kaia-berridge
Trent Hundley,EVANSVILLE,68,https://www.espn.com/mens-college-basketball/player/_/id/5241372/trent-hundley
Tyler Myers,EVANSVILLE,7,https://www.espn.com/mens-college-basketball/player/_/id/5177735/tyler-myers
Braylon Jackson,EVANSVILLE,10,https://www.espn.com/mens-college-basketball/player/_/id/5177733/braylon-jackson
Cameron Gehlhausen,EVANSVILLE,6,https://www.espn.com/mens-college-basketball/player/_/id/5108788/cameron-gehlhausen
