Player Name,Team,Minutes Played,Player Link
Prophet Johnson,FAIRFIELD,729,https://www.espn.com/mens-college-basketball/player/_/id/5177722/prophet-johnson
Jamie Bergens,FAIRFIELD,848,https://www.espn.com/mens-college-basketball/player/_/id/4702658/jamie-bergens
Deon Perry,FAIRFIELD,545,https://www.espn.com/mens-college-basketball/player/_/id/5105687/deon-perry
Braden Sparks,FAIRFIELD,649,https://www.espn.com/mens-college-basketball/player/_/id/5108879/braden-sparks
Louis Bleechmore,FAIRFIELD,696,https://www.espn.com/mens-college-basketball/player/_/id/5105979/louis-bleechmore
Peyton Smith,FAIRFIELD,499,https://www.espn.com/mens-college-basketball/player/_/id/5177111/peyton-smith
Kyle Jenkins,FAIRFIELD,349,https://www.espn.com/mens-college-basketball/player/_/id/4704950/kyle-jenkins
Luke Davidson,FAIRFIELD,3,https://www.espn.com/mens-college-basketball/player/_/id/5177108/luke-davidson
Noah Best,FAIRFIELD,192,https://www.espn.com/mens-college-basketball/player/_/id/5105888/noah-best
Michael Rogan,FAIRFIELD,316,https://www.espn.com/mens-college-basketball/player/_/id/5107183/michael-rogan
Birima Seck,FAIRFIELD,193,https://www.espn.com/mens-college-basketball/player/_/id/4897530/birima-seck
Isaac Munkadi,FAIRFIELD,274,https://www.espn.com/mens-college-basketball/player/_/id/5241486/isaac-munkadi
Makuei Riek,FAIRFIELD,107,https://www.espn.com/mens-college-basketball/player/_/id/5176833/makuei-riek
Matt Curtis,FAIRFIELD,23,https://www.espn.com/mens-college-basketball/player/_/id/5177105/matt-curtis
Joe Ganton,FAIRFIELD,2,https://www.espn.com/mens-college-basketball/player/_/id/5177110/joe-ganton
Tanner Ostop,FAIRFIELD,1,https://www.espn.com/mens-college-basketball/player/_/id/5241487/tanner-ostop
