Player Name,Team,Minutes Played,Player Link
Terrence Brown,FAIRLEIGH DICKINSON,965,https://www.espn.com/mens-college-basketball/player/_/id/5177233/terrence-brown
Jo'el Emanuel,FAIRLEIGH DICKINSON,953,https://www.espn.com/mens-college-basketball/player/_/id/5106588/joel-emanuel
Dylan Jones,FAIRLEIGH DICKINSON,720,https://www.espn.com/mens-college-basketball/player/_/id/5241777/dylan-jones
Ahmed Barba-Bey,FAIRLEIGH DICKINSON,748,https://www.espn.com/mens-college-basketball/player/_/id/5241775/ahmed-barba-bey
Bismark Nsiah,FAIRLEIGH DICKINSON,781,https://www.espn.com/mens-college-basketball/player/_/id/5241774/bismark-nsiah
Brayden Reynolds,FAIRLEIGH DICKINSON,653,https://www.espn.com/mens-college-basketball/player/_/id/5106591/brayden-reynolds
Jameel Morris,FAIRLEIGH DICKINSON,450,https://www.espn.com/mens-college-basketball/player/_/id/5177232/jameel-morris
Cameron Tweedy,FAIRLEIGH DICKINSON,251,https://www.espn.com/mens-college-basketball/player/_/id/5106589/cameron-tweedy
Chidube Ekwommadu,FAIRLEIGH DICKINSON,92,https://www.espn.com/mens-college-basketball/player/_/id/5241773/chidube-ekwommadu
Davin Francis,FAIRLEIGH DICKINSON,14,https://www.espn.com/mens-college-basketball/player/_/id/5177235/davin-francis
Jacob Warren,FAIRLEIGH DICKINSON,135,https://www.espn.com/mens-college-basketball/player/_/id/5177238/jacob-warren
Josiah Francis,FAIRLEIGH DICKINSON,92,https://www.espn.com/mens-college-basketball/player/_/id/5241776/josiah-francis
Andrew Canda,FAIRLEIGH DICKINSON,10,https://www.espn.com/mens-college-basketball/player/_/id/5241778/andrew-canda
Brashon Hall,FAIRLEIGH DICKINSON,12,https://www.espn.com/mens-college-basketball/player/_/id/5107962/brashon-hall
