Player Name,Team,Minutes Played,Player Link
Kaleb Glenn,FLORIDA ATLANTIC,637,https://www.espn.com/mens-college-basketball/player/_/id/4685668/kaleb-glenn
Tre Carroll,FLORIDA ATLANTIC,566,https://www.espn.com/mens-college-basketball/player/_/id/4684289/tre-carroll
Baba Miller,FLORIDA ATLANTIC,774,https://www.espn.com/mens-college-basketball/player/_/id/5075626/baba-miller
KyKy Tandy,FLORIDA ATLANTIC,604,https://www.espn.com/mens-college-basketball/player/_/id/4592606/kyky-tandy
Matas Vokietaitis,FLORIDA ATLANTIC,426,https://www.espn.com/mens-college-basketball/player/_/id/5239838/matas-vokietaitis
Leland Walker,FLORIDA ATLANTIC,739,https://www.espn.com/mens-college-basketball/player/_/id/4712838/leland-walker
Ken Evans Jr.,FLORIDA ATLANTIC,710,https://www.espn.com/mens-college-basketball/player/_/id/4594079/ken-evans-jr
Niccolo Moretti,FLORIDA ATLANTIC,587,https://www.espn.com/mens-college-basketball/player/_/id/5126036/niccolo-moretti
Max Langenfeld,FLORIDA ATLANTIC,51,https://www.espn.com/mens-college-basketball/player/_/id/5239839/max-langenfeld
Mantas Kocanas,FLORIDA ATLANTIC,14,https://www.espn.com/mens-college-basketball/player/_/id/5239840/mantas-kocanas
Devin Vanterpool,FLORIDA ATLANTIC,155,https://www.espn.com/mens-college-basketball/player/_/id/5175058/devin-vanterpool
Jack Johnson,FLORIDA ATLANTIC,12,https://www.espn.com/mens-college-basketball/player/_/id/5106866/jack-johnson
