Player Name,Team,Minutes Played,Player Link
Dallion Johnson,FLORIDA GULF COAST,957,https://www.espn.com/mens-college-basketball/player/_/id/4433567/dallion-johnson
Keeshawn Kellman,FLORIDA GULF COAST,684,https://www.espn.com/mens-college-basketball/player/_/id/4597867/keeshawn-kellman
Zavian McLean,FLORIDA GULF COAST,840,https://www.espn.com/mens-college-basketball/player/_/id/4702974/zavian-mclean
Jevin Muniz,FLORIDA GULF COAST,971,https://www.espn.com/mens-college-basketball/player/_/id/5108770/jevin-muniz
Rahmir Barno,FLORIDA GULF COAST,650,https://www.espn.com/mens-college-basketball/player/_/id/4895738/rahmir-barno
Rory Stewart,FLORIDA GULF COAST,558,https://www.espn.com/mens-college-basketball/player/_/id/5105971/rory-stewart
Michael Duax,FLORIDA GULF COAST,638,https://www.espn.com/mens-college-basketball/player/_/id/4897479/michael-duax
Tristen Guillouette,FLORIDA GULF COAST,189,https://www.espn.com/mens-college-basketball/player/_/id/5239793/tristen-guillouette
Darren Williams,FLORIDA GULF COAST,147,https://www.espn.com/mens-college-basketball/player/_/id/5239791/darren-williams
Jack Reddick,FLORIDA GULF COAST,123,https://www.espn.com/mens-college-basketball/player/_/id/5239790/jack-reddick
BB Washington,FLORIDA GULF COAST,35,https://www.espn.com/mens-college-basketball/player/_/id/5239792/bb-washington
Brandon Dwyer,FLORIDA GULF COAST,6,https://www.espn.com/mens-college-basketball/player/_/id/4897069/brandon-dwyer
