Player Name,Team,Minutes Played,Player Link
Walter Clayton Jr.,FLORIDA,832,https://www.espn.com/mens-college-basketball/player/_/id/4896372/walter-clayton-jr
Alijah Martin,FLORIDA,754,https://www.espn.com/mens-college-basketball/player/_/id/4702656/alijah-martin
Will Richard,FLORIDA,852,https://www.espn.com/mens-college-basketball/player/_/id/4897262/will-richard
Alex Condon,FLORIDA,603,https://www.espn.com/mens-college-basketball/player/_/id/5174657/alex-condon
Thomas Haugh,FLORIDA,642,https://www.espn.com/mens-college-basketball/player/_/id/5080489/thomas-haugh
Denzel Aberdeen,FLORIDA,553,https://www.espn.com/mens-college-basketball/player/_/id/5105527/denzel-aberdeen
Rueben Chinyelu,FLORIDA,543,https://www.espn.com/mens-college-basketball/player/_/id/5174971/rueben-chinyelu
Sam Alexis,FLORIDA,284,https://www.espn.com/mens-college-basketball/player/_/id/5107375/sam-alexis
Urban Klavzar,FLORIDA,177,https://www.espn.com/mens-college-basketball/player/_/id/5238200/urban-klavzar
Isaiah Brown,FLORIDA,63,https://www.espn.com/mens-college-basketball/player/_/id/5144372/isaiah-brown
Micah Handlogten,FLORIDA,50,https://www.espn.com/mens-college-basketball/player/_/id/5108992/micah-handlogten
Kajus Kublickas,FLORIDA,28,https://www.espn.com/mens-college-basketball/player/_/id/5174659/kajus-kublickas
Bennett Andersen,FLORIDA,7,https://www.espn.com/mens-college-basketball/player/_/id/5174658/bennett-andersen
Cooper Josefsberg,FLORIDA,4,https://www.espn.com/mens-college-basketball/player/_/id/5174660/cooper-josefsberg
Kevin Pazmino,FLORIDA,2,https://www.espn.com/mens-college-basketball/player/_/id/5238199/kevin-pazmino
Viktor Mikic,FLORIDA,7,https://www.espn.com/mens-college-basketball/player/_/id/5238201/viktor-mikic
