Player Name,Team,Minutes Played,Player Link
Amar Augillard,FRESNO STATE,224,https://www.espn.com/mens-college-basketball/player/_/id/4897222/amar-augillard
Jalen Weaver,FRESNO STATE,830,https://www.espn.com/mens-college-basketball/player/_/id/4684168/jalen-weaver
Alex Crawford,FRESNO STATE,832,https://www.espn.com/mens-college-basketball/player/_/id/4897620/alex-crawford
Zaon Collins,FRESNO STATE,870,https://www.espn.com/mens-college-basketball/player/_/id/5241239/zaon-collins
Mykell Robinson,FRESNO STATE,569,https://www.espn.com/mens-college-basketball/player/_/id/4702772/mykell-robinson
Elijah Price,FRESNO STATE,852,https://www.espn.com/mens-college-basketball/player/_/id/5176317/elijah-price
Brian Amuneke,FRESNO STATE,477,https://www.espn.com/mens-college-basketball/player/_/id/5241241/brian-amuneke
David Douglas Jr.,FRESNO STATE,98,https://www.espn.com/mens-college-basketball/player/_/id/5176815/david-douglas-jr
Jasir Tremble,FRESNO STATE,418,https://www.espn.com/mens-college-basketball/player/_/id/5241235/jasir-tremble
Mor Seck,FRESNO STATE,379,https://www.espn.com/mens-college-basketball/player/_/id/5107205/mor-seck
Pierre Geneste Jr.,FRESNO STATE,162,https://www.espn.com/mens-college-basketball/player/_/id/5106879/pierre-geneste-jr
Joshua Bonga,FRESNO STATE,65,https://www.espn.com/mens-college-basketball/player/_/id/5241237/joshua-bonga
