Player Name,Team,Minutes Played,Player Link
Darius Maddox,GEORGE MASON,839,https://www.espn.com/mens-college-basketball/player/_/id/4432257/darius-maddox
Jalen Haynes,GEORGE MASON,680,https://www.espn.com/mens-college-basketball/player/_/id/4709151/jalen-haynes
Brayden O'Connor,GEORGE MASON,752,https://www.espn.com/mens-college-basketball/player/_/id/5107269/brayden-oconnor
Woody Newton,GEORGE MASON,583,https://www.espn.com/mens-college-basketball/player/_/id/4601285/woody-newton
Giovanni Emejuru,GEORGE MASON,479,https://www.espn.com/mens-college-basketball/player/_/id/4896939/giovanni-emejuru
K.D. Johnson,GEORGE MASON,551,https://www.espn.com/mens-college-basketball/player/_/id/4432363/kd-johnson
Ben Woodward,GEORGE MASON,2,https://www.espn.com/mens-college-basketball/player/_/id/5239596/ben-woodward
Zach Anderson,GEORGE MASON,610,https://www.espn.com/mens-college-basketball/player/_/id/4700870/zach-anderson
Jared Billups,GEORGE MASON,671,https://www.espn.com/mens-college-basketball/player/_/id/4898266/jared-billups
Justin Begg,GEORGE MASON,253,https://www.espn.com/mens-college-basketball/player/_/id/5060702/justin-begg
Chase Tucker,GEORGE MASON,4,https://www.espn.com/mens-college-basketball/player/_/id/4897082/chase-tucker
T.J. Prosise,GEORGE MASON,2,https://www.espn.com/mens-college-basketball/player/_/id/5239597/tj-prosise
Bryson Cokley,GEORGE MASON,20,https://www.espn.com/mens-college-basketball/player/_/id/5239594/bryson-cokley
Stas Sivka,GEORGE MASON,33,https://www.espn.com/mens-college-basketball/player/_/id/5239595/stas-sivka
Jeremiah Quigley,GEORGE MASON,72,https://www.espn.com/mens-college-basketball/player/_/id/5177097/jeremiah-quigley
