Player Name,Team,Minutes Played,Player Link
Rafael Castro,GEORGE WASHINGTON,830,https://www.espn.com/mens-college-basketball/player/_/id/4684443/rafael-castro
Darren Buchanan Jr.,GEORGE WASHINGTON,757,https://www.espn.com/mens-college-basketball/player/_/id/5105402/darren-buchanan-jr
Gerald Drumgoole Jr.,GEORGE WASHINGTON,769,https://www.espn.com/mens-college-basketball/player/_/id/4431833/gerald-drumgoole-jr
Trey Autry,GEORGE WASHINGTON,721,https://www.espn.com/mens-college-basketball/player/_/id/5174599/trey-autry
Christian Jones,GEORGE WASHINGTON,653,https://www.espn.com/mens-college-basketball/player/_/id/4685650/christian-jones
Jacoi Hutchinson,GEORGE WASHINGTON,651,https://www.espn.com/mens-college-basketball/player/_/id/4845378/jacoi-hutchinson
Trey Moss,GEORGE WASHINGTON,414,https://www.espn.com/mens-college-basketball/player/_/id/4708220/trey-moss
Sean Hansen,GEORGE WASHINGTON,548,https://www.espn.com/mens-college-basketball/player/_/id/4702971/sean-hansen
Dayan Nessah,GEORGE WASHINGTON,108,https://www.espn.com/mens-college-basketball/player/_/id/5239604/dayan-nessah
Ty Bevins,GEORGE WASHINGTON,203,https://www.espn.com/mens-college-basketball/player/_/id/5144371/ty-bevins
Amir Arrington,GEORGE WASHINGTON,5,https://www.espn.com/mens-college-basketball/player/_/id/5174600/amir-arrington
Keegan Harvey,GEORGE WASHINGTON,8,https://www.espn.com/mens-college-basketball/player/_/id/4702741/keegan-harvey
Laziz Talipov,GEORGE WASHINGTON,1,https://www.espn.com/mens-college-basketball/player/_/id/4897073/laziz-talipov
Zamoku Weluche-Ume,GEORGE WASHINGTON,2,https://www.espn.com/mens-college-basketball/player/_/id/5174601/zamoku-weluche-ume
Mohamed Binzagr,GEORGE WASHINGTON,5,https://www.espn.com/mens-college-basketball/player/_/id/5239605/mohamed-binzagr
