Player Name,Team,Minutes Played,Player Link
Micah Peavy,GEORGETOWN,950,https://www.espn.com/mens-college-basketball/player/_/id/4432185/micah-peavy
Thomas Sorber,GEORGETOWN,752,https://www.espn.com/mens-college-basketball/player/_/id/5061603/thomas-sorber
Malik Mack,GEORGETOWN,838,https://www.espn.com/mens-college-basketball/player/_/id/5175952/malik-mack
Jayden Epps,GEORGETOWN,606,https://www.espn.com/mens-college-basketball/player/_/id/5105791/jayden-epps
Drew Fielder,GEORGETOWN,567,https://www.espn.com/mens-college-basketball/player/_/id/5082704/drew-fielder
Jordan Burks,GEORGETOWN,358,https://www.espn.com/mens-college-basketball/player/_/id/5060684/jordan-burks
Caleb Williams,GEORGETOWN,506,https://www.espn.com/mens-college-basketball/player/_/id/5061569/caleb-williams
Curtis Williams Jr.,GEORGETOWN,328,https://www.espn.com/mens-college-basketball/player/_/id/4683782/curtis-williams-jr
Julius Halaifonua,GEORGETOWN,79,https://www.espn.com/mens-college-basketball/player/_/id/5240524/julius-halaifonua
Drew McKenna,GEORGETOWN,80,https://www.espn.com/mens-college-basketball/player/_/id/5197113/drew-mckenna
Kayvaun Mulready,GEORGETOWN,109,https://www.espn.com/mens-college-basketball/player/_/id/5101668/kayvaun-mulready
Austin Montgomery,GEORGETOWN,17,https://www.espn.com/mens-college-basketball/player/_/id/5105536/austin-montgomery
Hashem Asadallah,GEORGETOWN,5,https://www.espn.com/mens-college-basketball/player/_/id/5175362/hashem-asadallah
Michael Van Raaphorst,GEORGETOWN,4,https://www.espn.com/mens-college-basketball/player/_/id/5240525/michael-van-raaphorst
