Player Name,Team,Minutes Played,Player Link
Adante' Holiman,GEORGIA SOUTHERN,622,https://www.espn.com/mens-college-basketball/player/_/id/4684620/adante-holiman
Bradley Douglas,GEORGIA SOUTHERN,850,https://www.espn.com/mens-college-basketball/player/_/id/5177352/bradley-douglas
Nakavieon White,GEORGIA SOUTHERN,623,https://www.espn.com/mens-college-basketball/player/_/id/5239885/nakavieon-white
Eren Banks,GEORGIA SOUTHERN,825,https://www.espn.com/mens-college-basketball/player/_/id/5176798/eren-banks
Tyson Brown,GEORGIA SOUTHERN,597,https://www.espn.com/mens-college-basketball/player/_/id/5174621/tyson-brown
Eugene Brown III,GEORGIA SOUTHERN,596,https://www.espn.com/mens-college-basketball/player/_/id/4433179/eugene-brown-iii
Dontae Horne,GEORGIA SOUTHERN,399,https://www.espn.com/mens-college-basketball/player/_/id/5176727/dontae-horne
Avantae Parker,GEORGIA SOUTHERN,220,https://www.espn.com/mens-college-basketball/player/_/id/5176801/avantae-parker
Micah Smith,GEORGIA SOUTHERN,244,https://www.espn.com/mens-college-basketball/player/_/id/5239886/micah-smith
Nate Brafford,GEORGIA SOUTHERN,431,https://www.espn.com/mens-college-basketball/player/_/id/5107230/nate-brafford
Braylhan Thomas,GEORGIA SOUTHERN,253,https://www.espn.com/mens-college-basketball/player/_/id/5239884/braylhan-thomas
Collin Kuhl,GEORGIA SOUTHERN,232,https://www.espn.com/mens-college-basketball/player/_/id/5176799/collin-kuhl
Tyler Bush,GEORGIA SOUTHERN,4,https://www.espn.com/mens-college-basketball/player/_/id/4909916/tyler-bush
Luke Keller,GEORGIA SOUTHERN,2,https://www.espn.com/mens-college-basketball/player/_/id/5107231/luke-keller
