Player Name,Team,Minutes Played,Player Link
Cesare Edwards,GEORGIA STATE,909,https://www.espn.com/mens-college-basketball/player/_/id/4708074/cesare-edwards
Toneari Lane,GEORGIA STATE,1017,https://www.espn.com/mens-college-basketball/player/_/id/4702226/toneari-lane
Zarique Nutter,GEORGIA STATE,671,https://www.espn.com/mens-college-basketball/player/_/id/4703526/zarique-nutter
Jelani Hamilton,GEORGIA STATE,767,https://www.espn.com/mens-college-basketball/player/_/id/4895747/jelani-hamilton
Nick McMullen,GEORGIA STATE,847,https://www.espn.com/mens-college-basketball/player/_/id/4703266/nick-mcmullen
Malachi Brown,GEORGIA STATE,860,https://www.espn.com/mens-college-basketball/player/_/id/5164367/malachi-brown
Clash Peters,GEORGIA STATE,318,https://www.espn.com/mens-college-basketball/player/_/id/5239901/clash-peters
Aaron Oh,GEORGIA STATE,13,https://www.espn.com/mens-college-basketball/player/_/id/5127963/aaron-oh
Malik Ferguson,GEORGIA STATE,212,https://www.espn.com/mens-college-basketball/player/_/id/5176803/malik-ferguson
Darnell Evans,GEORGIA STATE,85,https://www.espn.com/mens-college-basketball/player/_/id/5239899/darnell-evans
Dhiaukuei Manyiel Dut,GEORGIA STATE,55,https://www.espn.com/mens-college-basketball/player/_/id/5176804/dhiaukuei-manyiel-dut
Jason Jackson,GEORGIA STATE,45,https://www.espn.com/mens-college-basketball/player/_/id/5239898/jason-jackson
Justin Archer,GEORGIA STATE,23,https://www.espn.com/mens-college-basketball/player/_/id/5107507/justin-archer
Emmanuel Koveos,GEORGIA STATE,4,https://www.espn.com/mens-college-basketball/player/_/id/5239900/emmanuel-koveos
Kwame Tanic,GEORGIA STATE,1,https://www.espn.com/mens-college-basketball/player/_/id/5239903/kwame-tanic
