Player Name,Team,Minutes Played,Player Link
Lance Terry,GEORGIA TECH,811,https://www.espn.com/mens-college-basketball/player/_/id/4432121/lance-terry
Naithan George,GEORGIA TECH,948,https://www.espn.com/mens-college-basketball/player/_/id/5174557/naithan-george
Baye Ndongo,GEORGIA TECH,788,https://www.espn.com/mens-college-basketball/player/_/id/5142356/baye-ndongo
Javian McCollum,GEORGIA TECH,532,https://www.espn.com/mens-college-basketball/player/_/id/4898267/javian-mccollum
Duncan Powell,GEORGIA TECH,715,https://www.espn.com/mens-college-basketball/player/_/id/4565204/duncan-powell
Kowacie Reeves Jr.,GEORGIA TECH,143,https://www.espn.com/mens-college-basketball/player/_/id/4683757/kowacie-reeves-jr
Jaeden Mustaf,GEORGIA TECH,455,https://www.espn.com/mens-college-basketball/player/_/id/5060730/jaeden-mustaf
Luke O'Brien,GEORGIA TECH,212,https://www.espn.com/mens-college-basketball/player/_/id/4702380/luke-obrien
Doryan Onwuchekwa,GEORGIA TECH,182,https://www.espn.com/mens-college-basketball/player/_/id/4873179/doryan-onwuchekwa
Ibrahim Souare,GEORGIA TECH,428,https://www.espn.com/mens-college-basketball/player/_/id/5174559/ibrahim-souare
Ryan Mutombo,GEORGIA TECH,143,https://www.espn.com/mens-college-basketball/player/_/id/4683739/ryan-mutombo
Marcos San Miguel,GEORGIA TECH,4,https://www.espn.com/mens-college-basketball/player/_/id/5174560/marcos-san-miguel
Darrion Sutton,GEORGIA TECH,133,https://www.espn.com/mens-college-basketball/player/_/id/5144381/darrion-sutton
Emmer Nichols,GEORGIA TECH,7,https://www.espn.com/mens-college-basketball/player/_/id/5105434/emmer-nichols
