Player Name,Team,Minutes Played,Player Link
Asa Newell,GEORGIA,777,https://www.espn.com/mens-college-basketball/player/_/id/4873201/asa-newell
Silas Demary Jr.,GEORGIA,837,https://www.espn.com/mens-college-basketball/player/_/id/5054083/silas-demary-jr
Dakota Leffew,GEORGIA,670,https://www.espn.com/mens-college-basketball/player/_/id/4703167/dakota-leffew
Blue Cain,GEORGIA,721,https://www.espn.com/mens-college-basketball/player/_/id/5174661/blue-cain
Tyrin Lawrence,GEORGIA,605,https://www.espn.com/mens-college-basketball/player/_/id/4702530/tyrin-lawrence
RJ Godfrey,GEORGIA,555,https://www.espn.com/mens-college-basketball/player/_/id/5105449/rj-godfrey
De'Shayne Montgomery,GEORGIA,260,https://www.espn.com/mens-college-basketball/player/_/id/5177122/deshayne-montgomery
Somto Cyril,GEORGIA,393,https://www.espn.com/mens-college-basketball/player/_/id/5238203/somto-cyril
Dylan James,GEORGIA,317,https://www.espn.com/mens-college-basketball/player/_/id/4895794/dylan-james
Savo Drezgic,GEORGIA,54,https://www.espn.com/mens-college-basketball/player/_/id/5238202/savo-drezgic
Justin Abson,GEORGIA,197,https://www.espn.com/mens-college-basketball/player/_/id/5238204/justin-abson
Jaden Newell,GEORGIA,7,https://www.espn.com/mens-college-basketball/player/_/id/5105532/jaden-newell
Brandon Klatsky,GEORGIA,7,https://www.espn.com/mens-college-basketball/player/_/id/5105530/brandon-klatsky
