Player Name,Team,Minutes Played,Player Link
Noah Farrakhan,HAMPTON,773,https://www.espn.com/mens-college-basketball/player/_/id/4432203/noah-farrakhan
George Beale Jr.,HAMPTON,671,https://www.espn.com/mens-college-basketball/player/_/id/5107975/george-beale-jr
Daniel Johnson,HAMPTON,483,https://www.espn.com/mens-college-basketball/player/_/id/5239644/daniel-johnson
Kyrese Mullen,HAMPTON,554,https://www.espn.com/mens-college-basketball/player/_/id/5106697/kyrese-mullen
Wayne Bristol Jr.,HAMPTON,593,https://www.espn.com/mens-college-basketball/player/_/id/4593375/wayne-bristol-jr
Xzavier Long,HAMPTON,716,https://www.espn.com/mens-college-basketball/player/_/id/4896367/xzavier-long
Etienne Strothers,HAMPTON,426,https://www.espn.com/mens-college-basketball/player/_/id/5176756/etienne-strothers
Trevor Smith,HAMPTON,350,https://www.espn.com/mens-college-basketball/player/_/id/5174627/trevor-smith
Tyler Rice,HAMPTON,316,https://www.espn.com/mens-college-basketball/player/_/id/4897718/tyler-rice
Richard Goods,HAMPTON,360,https://www.espn.com/mens-college-basketball/player/_/id/5239643/richard-goods
Eunique Rink,HAMPTON,188,https://www.espn.com/mens-college-basketball/player/_/id/5239645/eunique-rink
Elijah Kennedy,HAMPTON,67,https://www.espn.com/mens-college-basketball/player/_/id/4879743/elijah-kennedy
Dan Banister Jr.,HAMPTON,108,https://www.espn.com/mens-college-basketball/player/_/id/4592670/dan-banister-jr
Daniel Nixon,HAMPTON,12,https://www.espn.com/mens-college-basketball/player/_/id/5239641/daniel-nixon
Ryan Hite,HAMPTON,9,https://www.espn.com/mens-college-basketball/player/_/id/5239642/ryan-hite
