Player Name,Team,Minutes Played,Player Link
Gytis Nemeiksa,HAWAI'I,14,https://www.espn.com/mens-college-basketball/player/_/id/5250656/gytis-nemeiksa
Gytis Nemeiksa,HAWAI'I,606,https://www.espn.com/mens-college-basketball/player/_/id/5175369/gytis-nemeiksa
Tanner Christensen,HAWAI'I,661,https://www.espn.com/mens-college-basketball/player/_/id/4701576/tanner-christensen
Ryan Rapp,HAWAI'I,608,https://www.espn.com/mens-college-basketball/player/_/id/4433062/ryan-rapp
Marcus Greene,HAWAI'I,572,https://www.espn.com/mens-college-basketball/player/_/id/4897953/marcus-greene
Kody Williams,HAWAI'I,613,https://www.espn.com/mens-college-basketball/player/_/id/5107203/kody-williams
Tom Beattie,HAWAI'I,681,https://www.espn.com/mens-college-basketball/player/_/id/5176372/tom-beattie
Harry Rouhliadeff,HAWAI'I,518,https://www.espn.com/mens-college-basketball/player/_/id/5107204/harry-rouhliadeff
Akira Jacobs,HAWAI'I,478,https://www.espn.com/mens-college-basketball/player/_/id/5176374/akira-jacobs
Aaron Hunkin-Claytor,HAWAI'I,408,https://www.espn.com/mens-college-basketball/player/_/id/5241898/aaron-hunkin-claytor
Jerome Palm,HAWAI'I,244,https://www.espn.com/mens-college-basketball/player/_/id/5107872/jerome-palm
Jacopo Van der Knaap,HAWAI'I,2,https://www.espn.com/mens-college-basketball/player/_/id/5241896/jacopo-van-der-knaap
Osahon Obasohan,HAWAI'I,21,https://www.espn.com/mens-college-basketball/player/_/id/5241894/osahon-obasohan
Logan Robeson,HAWAI'I,17,https://www.espn.com/mens-college-basketball/player/_/id/5176373/logan-robeson
AJ Economou,HAWAI'I,20,https://www.espn.com/mens-college-basketball/player/_/id/5241895/aj-economou
