Player Name,Team,Minutes Played,Player Link
Kezza Giffa,HIGH POINT,826,https://www.espn.com/mens-college-basketball/player/_/id/4897575/kezza-giffa
D'Maurian Williams,HIGH POINT,785,https://www.espn.com/mens-college-basketball/player/_/id/4702065/dmaurian-williams
Kimani Hamilton,HIGH POINT,741,https://www.espn.com/mens-college-basketball/player/_/id/5105538/kimani-hamilton
Bobby Pettiford,HIGH POINT,528,https://www.espn.com/mens-college-basketball/player/_/id/4683841/bobby-pettiford
Chase Johnston,HIGH POINT,664,https://www.espn.com/mens-college-basketball/player/_/id/4612709/chase-johnston
Simon Hildebrandt,HIGH POINT,271,https://www.espn.com/mens-college-basketball/player/_/id/5241593/simon-hildebrandt
Abdoulaye Thiam,HIGH POINT,397,https://www.espn.com/mens-college-basketball/player/_/id/4897426/abdoulaye-thiam
Juslin Bodo Bodo,HIGH POINT,646,https://www.espn.com/mens-college-basketball/player/_/id/5175662/juslin-bodo-bodo
Terry Anderson,HIGH POINT,268,https://www.espn.com/mens-college-basketball/player/_/id/5241590/terry-anderson
Trae Benham,HIGH POINT,438,https://www.espn.com/mens-college-basketball/player/_/id/4897579/trae-benham
Josh Ibukunoluwa,HIGH POINT,214,https://www.espn.com/mens-college-basketball/player/_/id/5241594/josh-ibukunoluwa
Ivan Matlekovic,HIGH POINT,31,https://www.espn.com/mens-college-basketball/player/_/id/5241596/ivan-matlekovic
Braden Hausen,HIGH POINT,59,https://www.espn.com/mens-college-basketball/player/_/id/5241592/braden-hausen
David Fonville,HIGH POINT,22,https://www.espn.com/mens-college-basketball/player/_/id/5241591/david-fonville
Titas Sargiunas,HIGH POINT,82,https://www.espn.com/mens-college-basketball/player/_/id/5175660/titas-sargiunas
Liam Carney,HIGH POINT,25,https://www.espn.com/mens-college-basketball/player/_/id/5108710/liam-carney
Andrew Sineway,HIGH POINT,15,https://www.espn.com/mens-college-basketball/player/_/id/5241598/andrew-sineway
Birgir Irving,HIGH POINT,13,https://www.espn.com/mens-college-basketball/player/_/id/5241595/birgir-irving
