Player Name,Team,Minutes Played,Player Link
Cruz Davis,HOFSTRA,976,https://www.espn.com/mens-college-basketball/player/_/id/5107198/cruz-davis
Jean Aranguren,HOFSTRA,941,https://www.espn.com/mens-college-basketball/player/_/id/5177098/jean-aranguren
Michael Graham,HOFSTRA,637,https://www.espn.com/mens-college-basketball/player/_/id/4702761/michael-graham
Jaquan Sanders,HOFSTRA,480,https://www.espn.com/mens-college-basketball/player/_/id/5105593/jaquan-sanders
KiJan Robinson,HOFSTRA,458,https://www.espn.com/mens-college-basketball/player/_/id/5174932/kijan-robinson
German Plotnikov,HOFSTRA,629,https://www.espn.com/mens-college-basketball/player/_/id/5105719/german-plotnikov
Khalil Farmer,HOFSTRA,449,https://www.espn.com/mens-college-basketball/player/_/id/5105717/khalil-farmer
TJ Gadsden,HOFSTRA,601,https://www.espn.com/mens-college-basketball/player/_/id/4719466/tj-gadsden
Eric Parnell,HOFSTRA,107,https://www.espn.com/mens-college-basketball/player/_/id/5174934/eric-parnell
Silas Sunday,HOFSTRA,396,https://www.espn.com/mens-college-basketball/player/_/id/4684984/silas-sunday
Joshua DeCady,HOFSTRA,219,https://www.espn.com/mens-college-basketball/player/_/id/5239632/joshua-decady
Jayden Henriquez,HOFSTRA,5,https://www.espn.com/mens-college-basketball/player/_/id/5174933/jayden-henriquez
Miguel Mantilla Pacchiano,HOFSTRA,2,https://www.espn.com/mens-college-basketball/player/_/id/5250469/miguel-mantilla-pacchiano
