Player Name,Team,Minutes Played,Player Link
Max Green,HOLY CROSS,947,https://www.espn.com/mens-college-basketball/player/_/id/5242943/max-green
Joe Nugent,HOLY CROSS,892,https://www.espn.com/mens-college-basketball/player/_/id/5176062/joe-nugent
Caleb Kenney,HOLY CROSS,720,https://www.espn.com/mens-college-basketball/player/_/id/4897907/caleb-kenney
Tyler Boston,HOLY CROSS,300,https://www.espn.com/mens-college-basketball/player/_/id/5242942/tyler-boston
DeAndre Williams,HOLY CROSS,700,https://www.espn.com/mens-college-basketball/player/_/id/5176058/deandre-williams
Kahlil Singleton,HOLY CROSS,432,https://www.espn.com/mens-college-basketball/player/_/id/5176059/kahlil-singleton
Jaiden Feroah,HOLY CROSS,668,https://www.espn.com/mens-college-basketball/player/_/id/5242946/jaiden-feroah
Aidan Richard,HOLY CROSS,539,https://www.espn.com/mens-college-basketball/player/_/id/5242945/aidan-richard
Gabe Warren,HOLY CROSS,257,https://www.espn.com/mens-college-basketball/player/_/id/5143603/gabe-warren
Declan Ryan,HOLY CROSS,100,https://www.espn.com/mens-college-basketball/player/_/id/5176063/declan-ryan
Ben Capron,HOLY CROSS,16,https://www.espn.com/mens-college-basketball/player/_/id/5105673/ben-capron
Jaden Kirkwood,HOLY CROSS,54,https://www.espn.com/mens-college-basketball/player/_/id/5105674/jaden-kirkwood
