Player Name,Team,Minutes Played,Player Link
Julian Mackey,HOUSTON CHRISTIAN,726,https://www.espn.com/mens-college-basketball/player/_/id/4719433/julian-mackey
Bryson Dawkins,HOUSTON CHRISTIAN,856,https://www.espn.com/mens-college-basketball/player/_/id/5107077/bryson-dawkins
Elijah Brooks,HOUSTON CHRISTIAN,710,https://www.espn.com/mens-college-basketball/player/_/id/5107282/elijah-brooks
D'Aundre Samuels,HOUSTON CHRISTIAN,451,https://www.espn.com/mens-college-basketball/player/_/id/5242556/daundre-samuels
Demari Williams,HOUSTON CHRISTIAN,325,https://www.espn.com/mens-college-basketball/player/_/id/4691165/demari-williams
Trent Johnson,HOUSTON CHRISTIAN,751,https://www.espn.com/mens-college-basketball/player/_/id/5176325/trent-johnson
Peyton Rogers,HOUSTON CHRISTIAN,807,https://www.espn.com/mens-college-basketball/player/_/id/5242558/peyton-rogers
Porter Bazil,HOUSTON CHRISTIAN,384,https://www.espn.com/mens-college-basketball/player/_/id/5176564/porter-bazil
Pierce Bazil,HOUSTON CHRISTIAN,247,https://www.espn.com/mens-college-basketball/player/_/id/5107306/pierce-bazil
Ivan Reynolds,HOUSTON CHRISTIAN,233,https://www.espn.com/mens-college-basketball/player/_/id/4897656/ivan-reynolds
Mason McBride,HOUSTON CHRISTIAN,94,https://www.espn.com/mens-college-basketball/player/_/id/5242557/mason-mcbride
Marques Gates,HOUSTON CHRISTIAN,7,https://www.espn.com/mens-college-basketball/player/_/id/4897353/marques-gates
Nathan Self,HOUSTON CHRISTIAN,10,https://www.espn.com/mens-college-basketball/player/_/id/4905452/nathan-self
