Player Name,Team,Minutes Played,Player Link
L.J. Cryer,HOUSTON,868,https://www.espn.com/mens-college-basketball/player/_/id/4433149/lj-cryer
Emanuel Sharp,HOUSTON,618,https://www.espn.com/mens-college-basketball/player/_/id/5106058/emanuel-sharp
J'Wan Roberts,HOUSTON,802,https://www.espn.com/mens-college-basketball/player/_/id/4433068/jwan-roberts
Milos Uzan,HOUSTON,843,https://www.espn.com/mens-college-basketball/player/_/id/5106272/milos-uzan
Terrance Arceneaux,HOUSTON,597,https://www.espn.com/mens-college-basketball/player/_/id/5106059/terrance-arceneaux
Mylik Wilson,HOUSTON,439,https://www.espn.com/mens-college-basketball/player/_/id/4432902/mylik-wilson
Joseph Tugler,HOUSTON,582,https://www.espn.com/mens-college-basketball/player/_/id/5060700/joseph-tugler
Ja'Vier Francis,HOUSTON,379,https://www.espn.com/mens-college-basketball/player/_/id/4684301/javier-francis
Mercy Miller,HOUSTON,157,https://www.espn.com/mens-college-basketball/player/_/id/4873086/mercy-miller
Ramon Walker Jr.,HOUSTON,90,https://www.espn.com/mens-college-basketball/player/_/id/4708176/ramon-walker-jr
Kordelius Jefferson,HOUSTON,47,https://www.espn.com/mens-college-basketball/player/_/id/5070506/kordelius-jefferson
Cedric Lath,HOUSTON,102,https://www.espn.com/mens-college-basketball/player/_/id/5117524/cedric-lath
