Player Name,Team,Minutes Played,Player Link
Blake Harper,HOWARD,930,https://www.espn.com/mens-college-basketball/player/_/id/5243101/blake-harper
Marcus Dockery,HOWARD,939,https://www.espn.com/mens-college-basketball/player/_/id/4433580/marcus-dockery
Cameron Shockley-Okeke,HOWARD,692,https://www.espn.com/mens-college-basketball/player/_/id/4593296/cameron-shockley-okeke
Bryce Harris,HOWARD,168,https://www.espn.com/mens-college-basketball/player/_/id/4897768/bryce-harris
Anwar Gill,HOWARD,730,https://www.espn.com/mens-college-basketball/player/_/id/4700969/anwar-gill
Dom Campbell,HOWARD,119,https://www.espn.com/mens-college-basketball/player/_/id/4874685/dom-campbell
Joshua Strong,HOWARD,453,https://www.espn.com/mens-college-basketball/player/_/id/4909951/joshua-strong
Jaren Johnson,HOWARD,583,https://www.espn.com/mens-college-basketball/player/_/id/4702964/jaren-johnson
Ose Okojie,HOWARD,84,https://www.espn.com/mens-college-basketball/player/_/id/5107986/ose-okojie
Miles Stewart,HOWARD,277,https://www.espn.com/mens-college-basketball/player/_/id/4897769/miles-stewart
Calvin Robins Jr.,HOWARD,168,https://www.espn.com/mens-college-basketball/player/_/id/5250600/calvin-robins-jr
Ayodele Taiwo,HOWARD,227,https://www.espn.com/mens-college-basketball/player/_/id/4897770/ayodele-taiwo
Mounir Hima,HOWARD,82,https://www.espn.com/mens-college-basketball/player/_/id/4700878/mounir-hima
