Player Name,Team,Minutes Played,Player Link
Dylan Darling,IDAHO STATE,811,https://www.espn.com/mens-college-basketball/player/_/id/5105658/dylan-darling
Jake O'Neil,IDAHO STATE,870,https://www.espn.com/mens-college-basketball/player/_/id/4708536/jake-oneil
Isaiah Griffin,IDAHO STATE,785,https://www.espn.com/mens-college-basketball/player/_/id/5176322/isaiah-griffin
Connor Hollenbeck,IDAHO STATE,719,https://www.espn.com/mens-college-basketball/player/_/id/5241283/connor-hollenbeck
AJ Burgin,IDAHO STATE,401,https://www.espn.com/mens-college-basketball/player/_/id/4897897/aj-burgin
Evan Otten,IDAHO STATE,601,https://www.espn.com/mens-college-basketball/player/_/id/5176324/evan-otten
Jackson Greene,IDAHO STATE,453,https://www.espn.com/mens-college-basketball/player/_/id/5241285/jackson-greene
Blake Daberkow,IDAHO STATE,290,https://www.espn.com/mens-college-basketball/player/_/id/5241286/blake-daberkow
Jaedyn Brown,IDAHO STATE,124,https://www.espn.com/mens-college-basketball/player/_/id/5176319/jaedyn-brown
Quentin Meza,IDAHO STATE,152,https://www.espn.com/mens-college-basketball/player/_/id/5176419/quentin-meza
Covy Kelly,IDAHO STATE,8,https://www.espn.com/mens-college-basketball/player/_/id/5241284/covy-kelly
Joey Madimba,IDAHO STATE,6,https://www.espn.com/mens-college-basketball/player/_/id/4705371/joey-madimba
Justin Graham,IDAHO STATE,3,https://www.espn.com/mens-college-basketball/player/_/id/5189547/justin-graham
