Player Name,Team,Minutes Played,Player Link
Chase Walker,ILLINOIS STATE,669,https://www.espn.com/mens-college-basketball/player/_/id/5176354/chase-walker
Johnny Kinziger,ILLINOIS STATE,913,https://www.espn.com/mens-college-basketball/player/_/id/5176352/johnny-kinziger
Dalton Banks,ILLINOIS STATE,856,https://www.espn.com/mens-college-basketball/player/_/id/4703921/dalton-banks
Ty Pence,ILLINOIS STATE,678,https://www.espn.com/mens-college-basketball/player/_/id/5176351/ty-pence
Landon Wolf,ILLINOIS STATE,671,https://www.espn.com/mens-college-basketball/player/_/id/4897478/landon-wolf
Jack Daugherty,ILLINOIS STATE,294,https://www.espn.com/mens-college-basketball/player/_/id/5241373/jack-daugherty
Malachi Poindexter,ILLINOIS STATE,614,https://www.espn.com/mens-college-basketball/player/_/id/4701986/malachi-poindexter
Jordan Davis,ILLINOIS STATE,545,https://www.espn.com/mens-college-basketball/player/_/id/4433242/jordan-davis
Caden Boser,ILLINOIS STATE,364,https://www.espn.com/mens-college-basketball/player/_/id/4702638/caden-boser
Cameron Barnes,ILLINOIS STATE,86,https://www.espn.com/mens-college-basketball/player/_/id/5174297/cameron-barnes
Ty Blake,ILLINOIS STATE,11,https://www.espn.com/mens-college-basketball/player/_/id/5176353/ty-blake
Cade Norris,ILLINOIS STATE,126,https://www.espn.com/mens-college-basketball/player/_/id/5241374/cade-norris
