Player Name,Team,Minutes Played,Player Link
Kasparas Jakucionis,ILLINOIS,810,https://www.espn.com/mens-college-basketball/player/_/id/5214640/kasparas-jakucionis
Tomislav Ivisic,ILLINOIS,671,https://www.espn.com/mens-college-basketball/player/_/id/5214642/tomislav-ivisic
Will Riley,ILLINOIS,662,https://www.espn.com/mens-college-basketball/player/_/id/5144126/will-riley
Kylan Boswell,ILLINOIS,832,https://www.espn.com/mens-college-basketball/player/_/id/4684269/kylan-boswell
Tre White,ILLINOIS,554,https://www.espn.com/mens-college-basketball/player/_/id/5105643/tre-white
Ben Humrichous,ILLINOIS,774,https://www.espn.com/mens-college-basketball/player/_/id/5177736/ben-humrichous
Dra Gibbs-Lawhorn,ILLINOIS,472,https://www.espn.com/mens-college-basketball/player/_/id/4711259/dra-gibbs-lawhorn
Morez Johnson Jr.,ILLINOIS,462,https://www.espn.com/mens-college-basketball/player/_/id/4873153/morez-johnson-jr
Jake Davis,ILLINOIS,262,https://www.espn.com/mens-college-basketball/player/_/id/5176150/jake-davis
Carey Booth,ILLINOIS,106,https://www.espn.com/mens-college-basketball/player/_/id/5037880/carey-booth
Keaton Kutcher,ILLINOIS,20,https://www.espn.com/mens-college-basketball/player/_/id/4897255/keaton-kutcher
AJ Redd,ILLINOIS,23,https://www.espn.com/mens-college-basketball/player/_/id/5121952/aj-redd
