Player Name,Team,Minutes Played,Player Link
Samage Teel,INDIANA STATE,977,https://www.espn.com/mens-college-basketball/player/_/id/5175670/samage-teel
Jaden Daughtry,INDIANA STATE,562,https://www.espn.com/mens-college-basketball/player/_/id/5176349/jaden-daughtry
Camp Wagner,INDIANA STATE,732,https://www.espn.com/mens-college-basketball/player/_/id/5175821/camp-wagner
Aaron Gray,INDIANA STATE,502,https://www.espn.com/mens-college-basketball/player/_/id/5107795/aaron-gray
K'mani Doughty,INDIANA STATE,656,https://www.espn.com/mens-college-basketball/player/_/id/4432969/kmani-doughty
Markus Harding,INDIANA STATE,485,https://www.espn.com/mens-college-basketball/player/_/id/5108045/markus-harding
Jahni Summers,INDIANA STATE,315,https://www.espn.com/mens-college-basketball/player/_/id/5241384/jahni-summers
Bruno Alocen,INDIANA STATE,674,https://www.espn.com/mens-college-basketball/player/_/id/5241387/bruno-alocen
Derek Vorst,INDIANA STATE,171,https://www.espn.com/mens-college-basketball/player/_/id/5176350/derek-vorst
Josiah LeGree,INDIANA STATE,365,https://www.espn.com/mens-college-basketball/player/_/id/5241383/josiah-legree
Merritt Alderink,INDIANA STATE,58,https://www.espn.com/mens-college-basketball/player/_/id/5241388/merritt-alderink
Jayan Walker,INDIANA STATE,267,https://www.espn.com/mens-college-basketball/player/_/id/5241385/jayan-walker
Tyran Cook,INDIANA STATE,80,https://www.espn.com/mens-college-basketball/player/_/id/5176331/tyran-cook
Cooper Bean,INDIANA STATE,31,https://www.espn.com/mens-college-basketball/player/_/id/5176348/cooper-bean
