Player Name,Team,Minutes Played,Player Link
Curtis Jones,IOWA STATE,795,https://www.espn.com/mens-college-basketball/player/_/id/4898369/curtis-jones
Keshon Gilbert,IOWA STATE,839,https://www.espn.com/mens-college-basketball/player/_/id/4585618/keshon-gilbert
Joshua Jefferson,IOWA STATE,775,https://www.espn.com/mens-college-basketball/player/_/id/4870564/joshua-jefferson
Milan Momcilovic,IOWA STATE,510,https://www.espn.com/mens-college-basketball/player/_/id/4848637/milan-momcilovic
Tamin Lipsey,IOWA STATE,819,https://www.espn.com/mens-college-basketball/player/_/id/5106254/tamin-lipsey
Dishon Jackson,IOWA STATE,504,https://www.espn.com/mens-college-basketball/player/_/id/4432926/dishon-jackson
Nate Heise,IOWA STATE,516,https://www.espn.com/mens-college-basketball/player/_/id/4703912/nate-heise
Brandton Chatfield,IOWA STATE,391,https://www.espn.com/mens-college-basketball/player/_/id/4592671/brandton-chatfield
Nojus Indrusaitis,IOWA STATE,85,https://www.espn.com/mens-college-basketball/player/_/id/5101664/nojus-indrusaitis
Demarion Watson,IOWA STATE,145,https://www.espn.com/mens-college-basketball/player/_/id/5106255/demarion-watson
JT Rock,IOWA STATE,20,https://www.espn.com/mens-college-basketball/player/_/id/5061598/jt-rock
Kayden Fish,IOWA STATE,18,https://www.espn.com/mens-college-basketball/player/_/id/5103584/kayden-fish
Cade Kelderman,IOWA STATE,33,https://www.espn.com/mens-college-basketball/player/_/id/5175036/cade-kelderman
Conrad Hawley,IOWA STATE,1,https://www.espn.com/mens-college-basketball/player/_/id/5106256/conrad-hawley
