Player Name,Team,Minutes Played,Player Link
Payton Sandfort,IOWA,848,https://www.espn.com/mens-college-basketball/player/_/id/4697270/payton-sandfort
Owen Freeman,IOWA,502,https://www.espn.com/mens-college-basketball/player/_/id/4894465/owen-freeman
Josh Dix,IOWA,826,https://www.espn.com/mens-college-basketball/player/_/id/5105800/josh-dix
Drew Thelwell,IOWA,603,https://www.espn.com/mens-college-basketball/player/_/id/4703260/drew-thelwell
Brock Harding,IOWA,682,https://www.espn.com/mens-college-basketball/player/_/id/5103589/brock-harding
Pryce Sandfort,IOWA,596,https://www.espn.com/mens-college-basketball/player/_/id/4858604/pryce-sandfort
Seydou Traore,IOWA,346,https://www.espn.com/mens-college-basketball/player/_/id/5177114/seydou-traore
Cooper Koch,IOWA,136,https://www.espn.com/mens-college-basketball/player/_/id/4873203/cooper-koch
Ladji Dembele,IOWA,422,https://www.espn.com/mens-college-basketball/player/_/id/5117582/ladji-dembele
Riley Mulvey,IOWA,126,https://www.espn.com/mens-college-basketball/player/_/id/4685004/riley-mulvey
Even Brauns,IOWA,133,https://www.espn.com/mens-college-basketball/player/_/id/4703219/even-brauns
Chris Tadjo,IOWA,51,https://www.espn.com/mens-college-basketball/player/_/id/5183810/chris-tadjo
Jacob Koch,IOWA,20,https://www.espn.com/mens-college-basketball/player/_/id/5239551/jacob-koch
Carter Kingsbury,IOWA,133,https://www.espn.com/mens-college-basketball/player/_/id/4897421/carter-kingsbury
