Player Name,Team,Minutes Played,Player Link
Paul Zilinskas,IU INDIANAPOLIS,871,https://www.espn.com/mens-college-basketball/player/_/id/4708790/paul-zilinskas
Jarvis Walker,IU INDIANAPOLIS,927,https://www.espn.com/mens-college-basketball/player/_/id/4702941/jarvis-walker
Sean Craig,IU INDIANAPOLIS,919,https://www.espn.com/mens-college-basketball/player/_/id/5115458/sean-craig
Alec Millender,IU INDIANAPOLIS,869,https://www.espn.com/mens-college-basketball/player/_/id/5241657/alec-millender
DeSean Goode,IU INDIANAPOLIS,682,https://www.espn.com/mens-college-basketball/player/_/id/5241658/desean-goode
Keenan Garner,IU INDIANAPOLIS,538,https://www.espn.com/mens-college-basketball/player/_/id/5241663/keenan-garner
Timaris Brown,IU INDIANAPOLIS,361,https://www.espn.com/mens-college-basketball/player/_/id/5241665/timaris-brown
Nathan Dudukovich,IU INDIANAPOLIS,210,https://www.espn.com/mens-college-basketball/player/_/id/5241662/nathan-dudukovich
Ebenezer Ogoh,IU INDIANAPOLIS,6,https://www.espn.com/mens-college-basketball/player/_/id/5241664/ebenezer-ogoh
Ron Rutland III,IU INDIANAPOLIS,209,https://www.espn.com/mens-college-basketball/player/_/id/5241659/ron-rutland-iii
Ajay Holubar,IU INDIANAPOLIS,52,https://www.espn.com/mens-college-basketball/player/_/id/5115456/ajay-holubar
Julian Steinfeld,IU INDIANAPOLIS,88,https://www.espn.com/mens-college-basketball/player/_/id/4707460/julian-steinfeld
Caleb Hannah,IU INDIANAPOLIS,93,https://www.espn.com/mens-college-basketball/player/_/id/5241661/caleb-hannah
