Player Name,Team,Minutes Played,Player Link
Jaron Pierre Jr.,JACKSONVILLE STATE,1030,https://www.espn.com/mens-college-basketball/player/_/id/4703115/jaron-pierre-jr
Jamar Franklin,JACKSONVILLE STATE,365,https://www.espn.com/mens-college-basketball/player/_/id/5106456/jamar-franklin
Michael Houge,JACKSONVILLE STATE,670,https://www.espn.com/mens-college-basketball/player/_/id/5177149/michael-houge
Jao Ituka,JACKSONVILLE STATE,548,https://www.espn.com/mens-college-basketball/player/_/id/4896378/jao-ituka
Quel'Ron House,JACKSONVILLE STATE,510,https://www.espn.com/mens-college-basketball/player/_/id/5242121/quelron-house
Koree Cotton,JACKSONVILLE STATE,707,https://www.espn.com/mens-college-basketball/player/_/id/5176333/koree-cotton
Mason Nicholson,JACKSONVILLE STATE,724,https://www.espn.com/mens-college-basketball/player/_/id/5106670/mason-nicholson
Marcellus Brigham Jr.,JACKSONVILLE STATE,696,https://www.espn.com/mens-college-basketball/player/_/id/4703246/marcellus-brigham-jr
Iaroslav Niagu,JACKSONVILLE STATE,334,https://www.espn.com/mens-college-basketball/player/_/id/5105645/iaroslav-niagu
Aidan Driggers,JACKSONVILLE STATE,3,https://www.espn.com/mens-college-basketball/player/_/id/5242122/aidan-driggers
Ben Bayela,JACKSONVILLE STATE,4,https://www.espn.com/mens-college-basketball/player/_/id/5106052/ben-bayela
Avishai Lowery,JACKSONVILLE STATE,3,https://www.espn.com/mens-college-basketball/player/_/id/5252615/avishai-lowery
Austin Brooks,JACKSONVILLE STATE,6,https://www.espn.com/mens-college-basketball/player/_/id/5257981/austin-brooks
