Player Name,Team,Minutes Played,Player Link
Mark Freeman,JAMES MADISON,849,https://www.espn.com/mens-college-basketball/player/_/id/4432988/mark-freeman
Bryce Lindsay,JAMES MADISON,811,https://www.espn.com/mens-college-basketball/player/_/id/5174291/bryce-lindsay
Xavier Brown,JAMES MADISON,833,https://www.espn.com/mens-college-basketball/player/_/id/5107222/xavier-brown
Elijah Hutchins-Everett,JAMES MADISON,706,https://www.espn.com/mens-college-basketball/player/_/id/4433161/elijah-hutchins-everett
AJ Smith,JAMES MADISON,692,https://www.espn.com/mens-college-basketball/player/_/id/5107626/aj-smith
Eddie Ricks III,JAMES MADISON,746,https://www.espn.com/mens-college-basketball/player/_/id/5177359/eddie-ricks-iii
Luke Anderson,JAMES MADISON,147,https://www.espn.com/mens-college-basketball/player/_/id/4431759/luke-anderson
Noah Williams,JAMES MADISON,298,https://www.espn.com/mens-college-basketball/player/_/id/4432850/noah-williams
Will Lovings-Watts,JAMES MADISON,82,https://www.espn.com/mens-college-basketball/player/_/id/5176223/will-lovings-watts
Ebenezer Dowuona,JAMES MADISON,314,https://www.espn.com/mens-college-basketball/player/_/id/4432447/ebenezer-dowuona
Justin Taylor,JAMES MADISON,244,https://www.espn.com/mens-college-basketball/player/_/id/4684746/justin-taylor
Redd Thompson Jr.,JAMES MADISON,42,https://www.espn.com/mens-college-basketball/player/_/id/5101649/redd-thompson-jr
Jarrell Pope,JAMES MADISON,11,https://www.espn.com/mens-college-basketball/player/_/id/5174864/jarrell-pope
Shane Feden,JAMES MADISON,10,https://www.espn.com/mens-college-basketball/player/_/id/4897706/shane-feden
Aidan Mckeon,JAMES MADISON,9,https://www.espn.com/mens-college-basketball/player/_/id/5174865/aidan-mckeon
Matt Hain,JAMES MADISON,10,https://www.espn.com/mens-college-basketball/player/_/id/5177363/matt-hain
