Player Name,Team,Minutes Played,Player Link
David N'Guessan,KANSAS STATE,763,https://www.espn.com/mens-college-basketball/player/_/id/4701984/david-nguessan
Brendan Hausen,KANSAS STATE,722,https://www.espn.com/mens-college-basketball/player/_/id/5105589/brendan-hausen
Dug McDaniel,KANSAS STATE,778,https://www.espn.com/mens-college-basketball/player/_/id/5105805/dug-mcdaniel
Coleman Hawkins,KANSAS STATE,865,https://www.espn.com/mens-college-basketball/player/_/id/4432976/coleman-hawkins
Max Jones,KANSAS STATE,763,https://www.espn.com/mens-college-basketball/player/_/id/5108104/max-jones
Achor Achor,KANSAS STATE,93,https://www.espn.com/mens-college-basketball/player/_/id/5107364/achor-achor
Macaleab Rich,KANSAS STATE,135,https://www.espn.com/mens-college-basketball/player/_/id/5103628/macaleab-rich
C.J. Jones,KANSAS STATE,496,https://www.espn.com/mens-college-basketball/player/_/id/5107878/cj-jones
Ugonna Onyenso,KANSAS STATE,174,https://www.espn.com/mens-college-basketball/player/_/id/5037878/ugonna-onyenso
Baye Fall,KANSAS STATE,25,https://www.espn.com/mens-college-basketball/player/_/id/4683770/baye-fall
David Castillo,KANSAS STATE,249,https://www.espn.com/mens-college-basketball/player/_/id/4869768/david-castillo
Mobi Ikegwuruka,KANSAS STATE,138,https://www.espn.com/mens-college-basketball/player/_/id/5240263/mobi-ikegwuruka
Taj Manning,KANSAS STATE,16,https://www.espn.com/mens-college-basketball/player/_/id/5106266/taj-manning
Spencer Bain,KANSAS STATE,8,https://www.espn.com/mens-college-basketball/player/_/id/4706613/spencer-bain
