Player Name,Team,Minutes Played,Player Link
Hunter Dickinson,KANSAS,798,https://www.espn.com/mens-college-basketball/player/_/id/4432180/hunter-dickinson
Zeke Mayo,KANSAS,841,https://www.espn.com/mens-college-basketball/player/_/id/4897251/zeke-mayo
Dajuan Harris Jr.,KANSAS,827,https://www.espn.com/mens-college-basketball/player/_/id/4431983/dajuan-harris-jr
KJ Adams Jr.,KANSAS,688,https://www.espn.com/mens-college-basketball/player/_/id/4433259/kj-adams-jr
Rylan Griffen,KANSAS,508,https://www.espn.com/mens-college-basketball/player/_/id/4683682/rylan-griffen
Flory Bidunga,KANSAS,455,https://www.espn.com/mens-college-basketball/player/_/id/5044426/flory-bidunga
AJ Storr,KANSAS,442,https://www.espn.com/mens-college-basketball/player/_/id/5105603/aj-storr
David Coit,KANSAS,412,https://www.espn.com/mens-college-basketball/player/_/id/5108023/david-coit
Shakeel Moore,KANSAS,274,https://www.espn.com/mens-college-basketball/player/_/id/4602027/shakeel-moore
Wilder Evers,KANSAS,15,https://www.espn.com/mens-college-basketball/player/_/id/5106260/wilder-evers
Zach Clemence,KANSAS,42,https://www.espn.com/mens-college-basketball/player/_/id/4683146/zach-clemence
Dillon Wilhite,KANSAS,15,https://www.espn.com/mens-college-basketball/player/_/id/4897491/dillon-wilhite
Justin Cross,KANSAS,9,https://www.espn.com/mens-college-basketball/player/_/id/5175889/justin-cross
Rakease Passmore,KANSAS,107,https://www.espn.com/mens-college-basketball/player/_/id/5101661/rakease-passmore
Patrick Cassidy,KANSAS,11,https://www.espn.com/mens-college-basketball/player/_/id/5175890/patrick-cassidy
Will Thengvall,KANSAS,5,https://www.espn.com/mens-college-basketball/player/_/id/5240262/will-thengvall
