Player Name,Team,Minutes Played,Player Link
Adrian Wooley,KENNESAW STATE,920,https://www.espn.com/mens-college-basketball/player/_/id/5242127/adrian-wooley
Simeon Cottle,KENNESAW STATE,888,https://www.espn.com/mens-college-basketball/player/_/id/5106660/simeon-cottle
Braedan Lue,KENNESAW STATE,711,https://www.espn.com/mens-college-basketball/player/_/id/5242126/braedan-lue
Jamil Miller,KENNESAW STATE,714,https://www.espn.com/mens-college-basketball/player/_/id/5242125/jamil-miller
Ricardo Wright,KENNESAW STATE,450,https://www.espn.com/mens-college-basketball/player/_/id/4703831/ricardo-wright
Frankquon Sherman,KENNESAW STATE,417,https://www.espn.com/mens-college-basketball/player/_/id/5176187/frankquon-sherman
Andre Weir,KENNESAW STATE,326,https://www.espn.com/mens-college-basketball/player/_/id/4741885/andre-weir
Rongie Gordon,KENNESAW STATE,643,https://www.espn.com/mens-college-basketball/player/_/id/4432400/rongie-gordon
Ramone Seals,KENNESAW STATE,158,https://www.espn.com/mens-college-basketball/player/_/id/5101667/ramone-seals
Mekhi Turner,KENNESAW STATE,49,https://www.espn.com/mens-college-basketball/player/_/id/5242123/mekhi-turner
Chase Clemmons,KENNESAW STATE,9,https://www.espn.com/mens-college-basketball/player/_/id/4894459/chase-clemmons
Delaney Heard,KENNESAW STATE,319,https://www.espn.com/mens-college-basketball/player/_/id/4702175/delaney-heard
Eric Holland,KENNESAW STATE,12,https://www.espn.com/mens-college-basketball/player/_/id/5106665/eric-holland
Charles Stone,KENNESAW STATE,17,https://www.espn.com/mens-college-basketball/player/_/id/5106664/charles-stone
Dozie Onyirimba,KENNESAW STATE,16,https://www.espn.com/mens-college-basketball/player/_/id/5242128/dozie-onyirimba
