Player Name,Team,Minutes Played,Player Link
VonCameron Davis,KENT STATE,760,https://www.espn.com/mens-college-basketball/player/_/id/4589474/voncameron-davis
Jalen Sullinger,KENT STATE,784,https://www.espn.com/mens-college-basketball/player/_/id/4898316/jalen-sullinger
Morgan Safford,KENT STATE,208,https://www.espn.com/mens-college-basketball/player/_/id/4593739/morgan-safford
Cli'Ron Hornbeak,KENT STATE,571,https://www.espn.com/mens-college-basketball/player/_/id/4898317/cliron-hornbeak
Marquis Barnett,KENT STATE,503,https://www.espn.com/mens-college-basketball/player/_/id/4897641/marquis-barnett
Cian Medley,KENT STATE,700,https://www.espn.com/mens-college-basketball/player/_/id/5174637/cian-medley
Delrecco Gillespie,KENT STATE,535,https://www.espn.com/mens-college-basketball/player/_/id/5108093/delrecco-gillespie
Jamal Sumlin,KENT STATE,494,https://www.espn.com/mens-college-basketball/player/_/id/5106846/jamal-sumlin
Anthony Morales,KENT STATE,322,https://www.espn.com/mens-college-basketball/player/_/id/4590364/anthony-morales
Mike Bekelja,KENT STATE,411,https://www.espn.com/mens-college-basketball/player/_/id/4700874/mike-bekelja
Magnus Entenmann,KENT STATE,101,https://www.espn.com/mens-college-basketball/player/_/id/5108091/magnus-entenmann
Donovan Hunter,KENT STATE,35,https://www.espn.com/mens-college-basketball/player/_/id/5176207/donovan-hunter
