Player Name,Team,Minutes Played,Player Link
Corey McKeithan,LA SALLE,903,https://www.espn.com/mens-college-basketball/player/_/id/4433243/corey-mckeithan
Deuce Jones,LA SALLE,742,https://www.espn.com/mens-college-basketball/player/_/id/4873087/deuce-jones
Daeshon Shepherd,LA SALLE,865,https://www.espn.com/mens-college-basketball/player/_/id/4710357/daeshon-shepherd
Jahlil White,LA SALLE,678,https://www.espn.com/mens-college-basketball/player/_/id/4432514/jahlil-white
Demetrius Lilley,LA SALLE,475,https://www.espn.com/mens-college-basketball/player/_/id/5105848/demetrius-lilley
Jason Umosella,LA SALLE,22,https://www.espn.com/mens-college-basketball/player/_/id/5239616/jason-umosella
Eric Acker,LA SALLE,266,https://www.espn.com/mens-college-basketball/player/_/id/5177260/eric-acker
Tunde Vahlberg Fasasi,LA SALLE,507,https://www.espn.com/mens-college-basketball/player/_/id/5174608/tunde-vahlberg-fasasi
Mac Etienne,LA SALLE,448,https://www.espn.com/mens-college-basketball/player/_/id/4711692/mac-etienne
Andrés Marrero,LA SALLE,356,https://www.espn.com/mens-college-basketball/player/_/id/4897066/andres-marrero
Ryan Zan,LA SALLE,128,https://www.espn.com/mens-college-basketball/player/_/id/5105901/ryan-zan
James Joseph,LA SALLE,32,https://www.espn.com/mens-college-basketball/player/_/id/5174605/james-joseph
Charles Ireland,LA SALLE,3,https://www.espn.com/mens-college-basketball/player/_/id/4897067/charles-ireland
Milos Kovacevic,LA SALLE,2,https://www.espn.com/mens-college-basketball/player/_/id/5174607/milos-kovacevic
