Player Name,Team,Minutes Played,Player Link
Alexis Marmolejos,LAMAR,850,https://www.espn.com/mens-college-basketball/player/_/id/5242571/alexis-marmolejos
Ja'Sean Jackson,LAMAR,770,https://www.espn.com/mens-college-basketball/player/_/id/4896504/jasean-jackson
Andrew Holifield,LAMAR,792,https://www.espn.com/mens-college-basketball/player/_/id/5116468/andrew-holifield
Adam Hamilton,LAMAR,616,https://www.espn.com/mens-college-basketball/player/_/id/5108087/adam-hamilton
Cody Pennebaker,LAMAR,730,https://www.espn.com/mens-college-basketball/player/_/id/5108080/cody-pennebaker
Danquez Dawsey,LAMAR,524,https://www.espn.com/mens-college-basketball/player/_/id/5242572/danquez-dawsey
BB Knight,LAMAR,84,https://www.espn.com/mens-college-basketball/player/_/id/5106641/bb-knight
Errol White,LAMAR,586,https://www.espn.com/mens-college-basketball/player/_/id/5176637/errol-white
Jayden Barrs,LAMAR,157,https://www.espn.com/mens-college-basketball/player/_/id/5176636/jayden-barrs
Terrance Dixon Jr.,LAMAR,182,https://www.espn.com/mens-college-basketball/player/_/id/5175066/terrance-dixon-jr
Braden East,LAMAR,42,https://www.espn.com/mens-college-basketball/player/_/id/5242573/braden-east
Janko Bulajic,LAMAR,290,https://www.espn.com/mens-college-basketball/player/_/id/5123799/janko-bulajic
