Player Name,Team,Minutes Played,Player Link
Keith Higgins Jr.,LEHIGH,395,https://www.espn.com/mens-college-basketball/player/_/id/4897894/keith-higgins-jr
Tyler Whitney-Sidney,LEHIGH,814,https://www.espn.com/mens-college-basketball/player/_/id/4683862/tyler-whitney-sidney
Nasir Whitlock,LEHIGH,633,https://www.espn.com/mens-college-basketball/player/_/id/5176076/nasir-whitlock
Cam Gillus,LEHIGH,802,https://www.espn.com/mens-college-basketball/player/_/id/5176075/cam-gillus
Hank Alvey,LEHIGH,654,https://www.espn.com/mens-college-basketball/player/_/id/5243042/hank-alvey
Joshua Ingram,LEHIGH,685,https://www.espn.com/mens-college-basketball/player/_/id/5176077/joshua-ingram
Edouard Benoit,LEHIGH,457,https://www.espn.com/mens-college-basketball/player/_/id/5243039/edouard-benoit
Bube Momah,LEHIGH,73,https://www.espn.com/mens-college-basketball/player/_/id/5105683/bube-momah
Ben Knostman,LEHIGH,512,https://www.espn.com/mens-college-basketball/player/_/id/4897896/ben-knostman
Alfredo Addesa,LEHIGH,176,https://www.espn.com/mens-college-basketball/player/_/id/5243040/alfredo-addesa
Jake Pike,LEHIGH,19,https://www.espn.com/mens-college-basketball/player/_/id/5176078/jake-pike
Tommy Conniff,LEHIGH,189,https://www.espn.com/mens-college-basketball/player/_/id/5105685/tommy-conniff
Peter Kramer,LEHIGH,25,https://www.espn.com/mens-college-basketball/player/_/id/5243041/peter-kramer
Brendan Reed,LEHIGH,17,https://www.espn.com/mens-college-basketball/player/_/id/5105682/brendan-reed
