Player Name,Team,Minutes Played,Player Link
Taelon Peter,LIBERTY,586,https://www.espn.com/mens-college-basketball/player/_/id/4703421/taelon-peter
Kaden Metheny,LIBERTY,836,https://www.espn.com/mens-college-basketball/player/_/id/4703572/kaden-metheny
Zach Cleveland,LIBERTY,758,https://www.espn.com/mens-college-basketball/player/_/id/5107069/zach-cleveland
Isaiah Ihnen,LIBERTY,198,https://www.espn.com/mens-college-basketball/player/_/id/4592702/isaiah-ihnen
Colin Porter,LIBERTY,844,https://www.espn.com/mens-college-basketball/player/_/id/5107070/colin-porter
Owen Aquino,LIBERTY,661,https://www.espn.com/mens-college-basketball/player/_/id/5242131/owen-aquino
Jayvon Maughmer,LIBERTY,787,https://www.espn.com/mens-college-basketball/player/_/id/4709895/jayvon-maughmer
Brett Decker Jr.,LIBERTY,156,https://www.espn.com/mens-college-basketball/player/_/id/5242130/brett-decker-jr
Zander Yates,LIBERTY,175,https://www.espn.com/mens-college-basketball/player/_/id/4897412/zander-yates
Curtis Blair III,LIBERTY,79,https://www.espn.com/mens-college-basketball/player/_/id/5175970/curtis-blair-iii
Kai Yu,LIBERTY,40,https://www.espn.com/mens-college-basketball/player/_/id/5175971/kai-yu
Bryson Spell,LIBERTY,52,https://www.espn.com/mens-college-basketball/player/_/id/4897571/bryson-spell
Gabriel McKay,LIBERTY,207,https://www.espn.com/mens-college-basketball/player/_/id/4606637/gabriel-mckay
JC Shirer Jr.,LIBERTY,40,https://www.espn.com/mens-college-basketball/player/_/id/5107071/jc-shirer-jr
Will Gibson,LIBERTY,4,https://www.espn.com/mens-college-basketball/player/_/id/5242132/will-gibson
