Player Name,Team,Minutes Played,Player Link
Jacob Ognacevic,LIPSCOMB,953,https://www.espn.com/mens-college-basketball/player/_/id/4703983/jacob-ognacevic
Will Pruitt,LIPSCOMB,910,https://www.espn.com/mens-college-basketball/player/_/id/4590356/will-pruitt
Gyasi Powell,LIPSCOMB,901,https://www.espn.com/mens-college-basketball/player/_/id/4897562/gyasi-powell
Joe Anderson,LIPSCOMB,895,https://www.espn.com/mens-college-basketball/player/_/id/4703811/joe-anderson
Dylan Faulkner,LIPSCOMB,262,https://www.espn.com/mens-college-basketball/player/_/id/5176193/dylan-faulkner
Charlie Williams,LIPSCOMB,429,https://www.espn.com/mens-college-basketball/player/_/id/5106738/charlie-williams
Grant Asman,LIPSCOMB,339,https://www.espn.com/mens-college-basketball/player/_/id/4897583/grant-asman
Miles White,LIPSCOMB,403,https://www.espn.com/mens-college-basketball/player/_/id/5239794/miles-white
Ross Candelino,LIPSCOMB,103,https://www.espn.com/mens-college-basketball/player/_/id/5105864/ross-candelino
Kellan Boylan,LIPSCOMB,224,https://www.espn.com/mens-college-basketball/player/_/id/5113385/kellan-boylan
Logan Suber,LIPSCOMB,213,https://www.espn.com/mens-college-basketball/player/_/id/5176191/logan-suber
Rylan Houck,LIPSCOMB,104,https://www.espn.com/mens-college-basketball/player/_/id/5107073/rylan-houck
Zach Lamey,LIPSCOMB,20,https://www.espn.com/mens-college-basketball/player/_/id/5176194/zach-lamey
Luke Carter,LIPSCOMB,16,https://www.espn.com/mens-college-basketball/player/_/id/5239795/luke-carter
Jack Ingold,LIPSCOMB,26,https://www.espn.com/mens-college-basketball/player/_/id/5107075/jack-ingold
