Player Name,Team,Minutes Played,Player Link
Johnathan Lawson,LITTLE ROCK,1077,https://www.espn.com/mens-college-basketball/player/_/id/4432589/johnathan-lawson
Mwani Wilkinson,LITTLE ROCK,957,https://www.espn.com/mens-college-basketball/player/_/id/4567590/mwani-wilkinson
Ante Beljan,LITTLE ROCK,847,https://www.espn.com/mens-college-basketball/player/_/id/5108799/ante-beljan
Isaiah Lewis,LITTLE ROCK,928,https://www.espn.com/mens-college-basketball/player/_/id/5242546/isaiah-lewis
Jordan Jefferson,LITTLE ROCK,433,https://www.espn.com/mens-college-basketball/player/_/id/4897214/jordan-jefferson
Tuongthach Gatkek,LITTLE ROCK,774,https://www.espn.com/mens-college-basketball/player/_/id/4896453/tuongthach-gatkek
Travonne Jackson,LITTLE ROCK,137,https://www.espn.com/mens-college-basketball/player/_/id/5242547/travonne-jackson
Caleb Pennyfeather,LITTLE ROCK,282,https://www.espn.com/mens-college-basketball/player/_/id/5242548/caleb-pennyfeather
Creed Williamson,LITTLE ROCK,100,https://www.espn.com/mens-college-basketball/player/_/id/5177353/creed-williamson
Christian Hughes,LITTLE ROCK,148,https://www.espn.com/mens-college-basketball/player/_/id/5177351/christian-hughes
Kristiyan Popov,LITTLE ROCK,116,https://www.espn.com/mens-college-basketball/player/_/id/5177356/kristiyan-popov
Nikola Milosevic,LITTLE ROCK,53,https://www.espn.com/mens-college-basketball/player/_/id/5177357/nikola-milosevic
