Player Name,Team,Minutes Played,Player Link
Devin Askew,LONG BEACH STATE,1011,https://www.espn.com/mens-college-basketball/player/_/id/4702467/devin-askew
TJ Wainwright,LONG BEACH STATE,793,https://www.espn.com/mens-college-basketball/player/_/id/4683947/tj-wainwright
Kam Martin,LONG BEACH STATE,787,https://www.espn.com/mens-college-basketball/player/_/id/5241906/kam-martin
Austin Johnson,LONG BEACH STATE,752,https://www.espn.com/mens-college-basketball/player/_/id/4592959/austin-johnson
Cam Denson,LONG BEACH STATE,553,https://www.espn.com/mens-college-basketball/player/_/id/5105458/cam-denson
Ramel Lloyd Jr.,LONG BEACH STATE,156,https://www.espn.com/mens-college-basketball/player/_/id/5105824/ramel-lloyd-jr
Derrick Michael Xzavierro,LONG BEACH STATE,558,https://www.espn.com/mens-college-basketball/player/_/id/5106309/derrick-michael-xzavierro
Varick Lewis,LONG BEACH STATE,283,https://www.espn.com/mens-college-basketball/player/_/id/5177684/varick-lewis
Andrew Nagy,LONG BEACH STATE,363,https://www.espn.com/mens-college-basketball/player/_/id/5241910/andrew-nagy
Christian Richardson,LONG BEACH STATE,202,https://www.espn.com/mens-college-basketball/player/_/id/5241909/christian-richardson
Cory Curtis Jr.,LONG BEACH STATE,50,https://www.espn.com/mens-college-basketball/player/_/id/5241911/cory-curtis-jr
Eli Djordjevic,LONG BEACH STATE,85,https://www.espn.com/mens-college-basketball/player/_/id/5177683/eli-djordjevic
Jason Hart Jr.,LONG BEACH STATE,48,https://www.espn.com/mens-college-basketball/player/_/id/5107192/jason-hart-jr
Grant Martin,LONG BEACH STATE,9,https://www.espn.com/mens-college-basketball/player/_/id/5241907/grant-martin
