Player Name,Team,Minutes Played,Player Link
Malachi Davis,LONG ISLAND UNIVERSITY,917,https://www.espn.com/mens-college-basketball/player/_/id/5175029/malachi-davis
Jamal Fuller,LONG ISLAND UNIVERSITY,912,https://www.espn.com/mens-college-basketball/player/_/id/5122836/jamal-fuller
Terell Strickland,LONG ISLAND UNIVERSITY,731,https://www.espn.com/mens-college-basketball/player/_/id/4702767/terell-strickland
Brent Davis,LONG ISLAND UNIVERSITY,604,https://www.espn.com/mens-college-basketball/player/_/id/4703801/brent-davis
Blake Lander,LONG ISLAND UNIVERSITY,809,https://www.espn.com/mens-college-basketball/player/_/id/5118036/blake-lander
Shadrak Lasu,LONG ISLAND UNIVERSITY,769,https://www.espn.com/mens-college-basketball/player/_/id/5243273/shadrak-lasu
Jalen Lee,LONG ISLAND UNIVERSITY,528,https://www.espn.com/mens-college-basketball/player/_/id/5243271/jalen-lee
Tre'shawn Sheppard,LONG ISLAND UNIVERSITY,241,https://www.espn.com/mens-college-basketball/player/_/id/5177262/treshawn-sheppard
Jason Steele,LONG ISLAND UNIVERSITY,198,https://www.espn.com/mens-college-basketball/player/_/id/5177263/jason-steele
Xinyi Li,LONG ISLAND UNIVERSITY,204,https://www.espn.com/mens-college-basketball/player/_/id/5181768/xinyi-li
Gavin Pendergast,LONG ISLAND UNIVERSITY,13,https://www.espn.com/mens-college-basketball/player/_/id/5243275/gavin-pendergast
