Player Name,Team,Minutes Played,Player Link
Mostapha El Moutaouakkil,LOUISIANA,717,https://www.espn.com/mens-college-basketball/player/_/id/5240082/mostapha-el-moutaouakkil
Kentrell Garnett,LOUISIANA,992,https://www.espn.com/mens-college-basketball/player/_/id/4702106/kentrell-garnett
Koron Davis,LOUISIANA,82,https://www.espn.com/mens-college-basketball/player/_/id/5174561/koron-davis
Christian Wright,LOUISIANA,710,https://www.espn.com/mens-college-basketball/player/_/id/4896464/christian-wright
Kyndall Davis,LOUISIANA,555,https://www.espn.com/mens-college-basketball/player/_/id/4703205/kyndall-davis
Kyran Ratliff,LOUISIANA,592,https://www.espn.com/mens-college-basketball/player/_/id/5107218/kyran-ratliff
Brandon Hardy,LOUISIANA,447,https://www.espn.com/mens-college-basketball/player/_/id/5176556/brandon-hardy
Michael Thomas,LOUISIANA,499,https://www.espn.com/mens-college-basketball/player/_/id/4702105/michael-thomas
London Fields,LOUISIANA,336,https://www.espn.com/mens-college-basketball/player/_/id/5176553/london-fields
Jeremiah Evans,LOUISIANA,251,https://www.espn.com/mens-college-basketball/player/_/id/4873220/jeremiah-evans
Zeke Cook,LOUISIANA,408,https://www.espn.com/mens-college-basketball/player/_/id/5107381/zeke-cook
Chancellor White,LOUISIANA,227,https://www.espn.com/mens-college-basketball/player/_/id/5107217/chancellor-white
Christian Landry,LOUISIANA,10,https://www.espn.com/mens-college-basketball/player/_/id/5176557/christian-landry
