Player Name,Team,Minutes Played,Player Link
Chucky Hepburn,LOUISVILLE,877,https://www.espn.com/mens-college-basketball/player/_/id/4590360/chucky-hepburn
Terrence Edwards Jr.,LOUISVILLE,856,https://www.espn.com/mens-college-basketball/player/_/id/4702766/terrence-edwards-jr
Reyne Smith,LOUISVILLE,851,https://www.espn.com/mens-college-basketball/player/_/id/4896994/reyne-smith
J'Vonne Hadley,LOUISVILLE,872,https://www.espn.com/mens-college-basketball/player/_/id/4702784/jvonne-hadley
Kasean Pryor,LOUISVILLE,164,https://www.espn.com/mens-college-basketball/player/_/id/4589481/kasean-pryor
James Scott,LOUISVILLE,608,https://www.espn.com/mens-college-basketball/player/_/id/5102798/james-scott
Noah Waterman,LOUISVILLE,455,https://www.espn.com/mens-college-basketball/player/_/id/4593355/noah-waterman
Aboubacar Traore,LOUISVILLE,239,https://www.espn.com/mens-college-basketball/player/_/id/4897670/aboubacar-traore
Khani Rooths,LOUISVILLE,360,https://www.espn.com/mens-college-basketball/player/_/id/4873187/khani-rooths
Koren Johnson,LOUISVILLE,39,https://www.espn.com/mens-college-basketball/player/_/id/5105649/koren-johnson
Frank Anselem-Ibe,LOUISVILLE,70,https://www.espn.com/mens-college-basketball/player/_/id/4701842/frank-anselem-ibe
Patrick Antonelli,LOUISVILLE,8,https://www.espn.com/mens-college-basketball/player/_/id/4901675/patrick-antonelli
Aidan McCool,LOUISVILLE,9,https://www.espn.com/mens-college-basketball/player/_/id/4702228/aidan-mccool
Spencer Legg,LOUISVILLE,6,https://www.espn.com/mens-college-basketball/player/_/id/5105765/spencer-legg
Cole Sherman,LOUISVILLE,10,https://www.espn.com/mens-college-basketball/player/_/id/5106779/cole-sherman
