Player Name,Team,Minutes Played,Player Link
Des Watson,LOYOLA CHICAGO,923,https://www.espn.com/mens-college-basketball/player/_/id/4897098/des-watson
Jayden Dawson,LOYOLA CHICAGO,639,https://www.espn.com/mens-college-basketball/player/_/id/5105964/jayden-dawson
Sheldon Edwards Jr.,LOYOLA CHICAGO,728,https://www.espn.com/mens-college-basketball/player/_/id/4703982/sheldon-edwards-jr
Miles Rubin,LOYOLA CHICAGO,645,https://www.espn.com/mens-college-basketball/player/_/id/5174609/miles-rubin
Jalen Quinn,LOYOLA CHICAGO,558,https://www.espn.com/mens-college-basketball/player/_/id/5105965/jalen-quinn
Justin Moore,LOYOLA CHICAGO,216,https://www.espn.com/mens-college-basketball/player/_/id/5105780/justin-moore
Jalen DeLoach,LOYOLA CHICAGO,395,https://www.espn.com/mens-college-basketball/player/_/id/4432483/jalen-deloach
Francis Nwaokorie,LOYOLA CHICAGO,605,https://www.espn.com/mens-college-basketball/player/_/id/4897686/francis-nwaokorie
Kymany Houinsou,LOYOLA CHICAGO,444,https://www.espn.com/mens-college-basketball/player/_/id/5105659/kymany-houinsou
Caleb Reese,LOYOLA CHICAGO,41,https://www.espn.com/mens-college-basketball/player/_/id/5105967/caleb-reese
Jack Turner,LOYOLA CHICAGO,21,https://www.espn.com/mens-college-basketball/player/_/id/5239629/jack-turner
Daniil Glazkov,LOYOLA CHICAGO,164,https://www.espn.com/mens-college-basketball/player/_/id/5239627/daniil-glazkov
Seifeldin Hendawy,LOYOLA CHICAGO,62,https://www.espn.com/mens-college-basketball/player/_/id/5239628/seifeldin-hendawy
Zachary Royster,LOYOLA CHICAGO,13,https://www.espn.com/mens-college-basketball/player/_/id/5239631/zachary-royster
Matthew Mortenson,LOYOLA CHICAGO,15,https://www.espn.com/mens-college-basketball/player/_/id/5174610/matthew-mortenson
Sam Yurasek,LOYOLA CHICAGO,5,https://www.espn.com/mens-college-basketball/player/_/id/5193438/sam-yurasek
