Player Name,Team,Minutes Played,Player Link
Milos Ilic,LOYOLA MARYLAND,697,https://www.espn.com/mens-college-basketball/player/_/id/4897890/milos-ilic
Jacob Theodosiou,LOYOLA MARYLAND,784,https://www.espn.com/mens-college-basketball/player/_/id/5176286/jacob-theodosiou
Jordan Stiemke,LOYOLA MARYLAND,730,https://www.espn.com/mens-college-basketball/player/_/id/5176082/jordan-stiemke
Braeden Speed,LOYOLA MARYLAND,779,https://www.espn.com/mens-college-basketball/player/_/id/5242964/braeden-speed
Veljko Ilic,LOYOLA MARYLAND,403,https://www.espn.com/mens-college-basketball/player/_/id/4897888/veljko-ilic
Chris Kuzemka,LOYOLA MARYLAND,166,https://www.espn.com/mens-college-basketball/player/_/id/4897889/chris-kuzemka
Tyson Commander,LOYOLA MARYLAND,702,https://www.espn.com/mens-college-basketball/player/_/id/5105689/tyson-commander
David Brown III,LOYOLA MARYLAND,513,https://www.espn.com/mens-college-basketball/player/_/id/4897893/david-brown-iii
Troy Cicero Jr.,LOYOLA MARYLAND,89,https://www.espn.com/mens-college-basketball/player/_/id/5176081/troy-cicero-jr
Goap Kodi,LOYOLA MARYLAND,63,https://www.espn.com/mens-college-basketball/player/_/id/5242965/goap-kodi
Samuel Gibbs,LOYOLA MARYLAND,143,https://www.espn.com/mens-college-basketball/player/_/id/5105690/samuel-gibbs
Greg Guidinger,LOYOLA MARYLAND,17,https://www.espn.com/mens-college-basketball/player/_/id/5242963/greg-guidinger
Matt Gray,LOYOLA MARYLAND,27,https://www.espn.com/mens-college-basketball/player/_/id/5176083/matt-gray
Garrett Brennan,LOYOLA MARYLAND,77,https://www.espn.com/mens-college-basketball/player/_/id/5105688/garrett-brennan
Peter Sposito,LOYOLA MARYLAND,12,https://www.espn.com/mens-college-basketball/player/_/id/5198359/peter-sposito
