Player Name,Team,Minutes Played,Player Link
Caleb Stone-Carrawell,LOYOLA MARYMOUNT,834,https://www.espn.com/mens-college-basketball/player/_/id/4592841/caleb-stone-carrawell
Jevon Porter,LOYOLA MARYMOUNT,875,https://www.espn.com/mens-college-basketball/player/_/id/4684798/jevon-porter
Will Johnston,LOYOLA MARYMOUNT,833,https://www.espn.com/mens-college-basketball/player/_/id/5105481/will-johnston
Alex Merkviladze,LOYOLA MARYMOUNT,928,https://www.espn.com/mens-college-basketball/player/_/id/4702495/alex-merkviladze
Myron Amey Jr.,LOYOLA MARYMOUNT,583,https://www.espn.com/mens-college-basketball/player/_/id/4897534/myron-amey-jr
Jan Vide,LOYOLA MARYMOUNT,570,https://www.espn.com/mens-college-basketball/player/_/id/5174984/jan-vide
Aaron McBride,LOYOLA MARYMOUNT,498,https://www.espn.com/mens-college-basketball/player/_/id/4872743/aaron-mcbride
Rick Issanza,LOYOLA MARYMOUNT,316,https://www.espn.com/mens-college-basketball/player/_/id/4592217/rick-issanza
Matar Diop,LOYOLA MARYMOUNT,150,https://www.espn.com/mens-college-basketball/player/_/id/5174799/matar-diop
Lamaj Lewis,LOYOLA MARYMOUNT,176,https://www.espn.com/mens-college-basketball/player/_/id/4896979/lamaj-lewis
Jovan Ristic,LOYOLA MARYMOUNT,21,https://www.espn.com/mens-college-basketball/player/_/id/5176566/jovan-ristic
Kevin Carney,LOYOLA MARYMOUNT,9,https://www.espn.com/mens-college-basketball/player/_/id/5176567/kevin-carney
George Tupy,LOYOLA MARYMOUNT,8,https://www.espn.com/mens-college-basketball/player/_/id/5197991/george-tupy
