Player Name,Team,Minutes Played,Player Link
Cam Carter,LSU,898,https://www.espn.com/mens-college-basketball/player/_/id/4898380/cam-carter
Jordan Sears,LSU,696,https://www.espn.com/mens-college-basketball/player/_/id/4702063/jordan-sears
Jalen Reed,LSU,190,https://www.espn.com/mens-college-basketball/player/_/id/5105534/jalen-reed
Vyctorius Miller,LSU,441,https://www.espn.com/mens-college-basketball/player/_/id/5238208/vyctorius-miller
Dji Bailey,LSU,837,https://www.espn.com/mens-college-basketball/player/_/id/4700974/dji-bailey
Daimion Collins,LSU,521,https://www.espn.com/mens-college-basketball/player/_/id/4611412/daimion-collins
Corey Chest,LSU,517,https://www.espn.com/mens-college-basketball/player/_/id/4858606/corey-chest
Curtis Givens III,LSU,468,https://www.espn.com/mens-college-basketball/player/_/id/5037872/curtis-givens-iii
Robert Miller III,LSU,408,https://www.espn.com/mens-college-basketball/player/_/id/5061596/robert-miller-iii
Mike Williams III,LSU,172,https://www.espn.com/mens-college-basketball/player/_/id/5174319/mike-williams-iii
Derek Fountain,LSU,257,https://www.espn.com/mens-college-basketball/player/_/id/4702432/derek-fountain
Trey'Dez Green,LSU,40,https://www.espn.com/mens-college-basketball/player/_/id/5238210/treydez-green
Noah Boyde,LSU,11,https://www.espn.com/mens-college-basketball/player/_/id/5238209/noah-boyde
Adam Benhayoune,LSU,9,https://www.espn.com/mens-college-basketball/player/_/id/4902710/adam-benhayoune
Trace Young,LSU,10,https://www.espn.com/mens-college-basketball/player/_/id/4703222/trace-young
