Player Name,Team,Minutes Played,Player Link
Will Sydnor,MANHATTAN,735,https://www.espn.com/mens-college-basketball/player/_/id/5241535/will-sydnor
Devin Dinkins,MANHATTAN,728,https://www.espn.com/mens-college-basketball/player/_/id/5105895/devin-dinkins
Shaquil Bender,MANHATTAN,784,https://www.espn.com/mens-college-basketball/player/_/id/5177115/shaquil-bender
Masiah Gilyard,MANHATTAN,722,https://www.espn.com/mens-college-basketball/player/_/id/5241536/masiah-gilyard
Wesley Robinson,MANHATTAN,701,https://www.espn.com/mens-college-basketball/player/_/id/5177117/wesley-robinson
Jaden Winston,MANHATTAN,799,https://www.espn.com/mens-college-basketball/player/_/id/5177116/jaden-winston
Fraser Roxburgh,MANHATTAN,245,https://www.espn.com/mens-college-basketball/player/_/id/5241537/fraser-roxburgh
Marko Ljubicic,MANHATTAN,66,https://www.espn.com/mens-college-basketball/player/_/id/5246878/marko-ljubicic
Alijah Curry,MANHATTAN,119,https://www.espn.com/mens-college-basketball/player/_/id/5241533/alijah-curry
John Berbano,MANHATTAN,6,https://www.espn.com/mens-college-basketball/player/_/id/5241532/john-berbano
Michael Lawlor,MANHATTAN,5,https://www.espn.com/mens-college-basketball/player/_/id/5181767/michael-lawlor
Aryan Arora,MANHATTAN,2,https://www.espn.com/mens-college-basketball/player/_/id/4901653/aryan-arora
Daniel Hackett,MANHATTAN,3,https://www.espn.com/mens-college-basketball/player/_/id/4901655/daniel-hackett
Amaan Sandhu,MANHATTAN,3,https://www.espn.com/mens-college-basketball/player/_/id/5106704/amaan-sandhu
Allen Myers,MANHATTAN,5,https://www.espn.com/mens-college-basketball/player/_/id/5181769/allen-myers
Jackson Delaney,MANHATTAN,3,https://www.espn.com/mens-college-basketball/player/_/id/5185184/jackson-delaney
