Player Name,Team,Minutes Played,Player Link
Josh Pascarelli,MARIST,827,https://www.espn.com/mens-college-basketball/player/_/id/5177121/josh-pascarelli
Elijah Lewis,MARIST,735,https://www.espn.com/mens-college-basketball/player/_/id/5242621/elijah-lewis
Jackson Price,MARIST,446,https://www.espn.com/mens-college-basketball/player/_/id/4897371/jackson-price
Jadin Collins-Roberts,MARIST,789,https://www.espn.com/mens-college-basketball/player/_/id/5242619/jadin-collins-roberts
Jaden Daughtry,MARIST,610,https://www.espn.com/mens-college-basketball/player/_/id/5107770/jaden-daughtry
Jason Schofield,MARIST,244,https://www.espn.com/mens-college-basketball/player/_/id/5177120/jason-schofield
Tarik Watson,MARIST,229,https://www.espn.com/mens-college-basketball/player/_/id/4873195/tarik-watson
Martin Kawa,MARIST,216,https://www.espn.com/mens-college-basketball/player/_/id/4897651/martin-kawa
Travis Roberts,MARIST,204,https://www.espn.com/mens-college-basketball/player/_/id/4684734/travis-roberts
Caleb Mackrey,MARIST,159,https://www.espn.com/mens-college-basketball/player/_/id/5242620/caleb-mackrey
Matt McCool,MARIST,35,https://www.espn.com/mens-college-basketball/player/_/id/5107772/matt-mccool
Parby Kabamba,MARIST,139,https://www.espn.com/mens-college-basketball/player/_/id/5242622/parby-kabamba
Antoni Vlogianitis,MARIST,3,https://www.espn.com/mens-college-basketball/player/_/id/5242623/antoni-vlogianitis
Trace Salton,MARIST,237,https://www.espn.com/mens-college-basketball/player/_/id/5107769/trace-salton
Jagger Bascombe,MARIST,3,https://www.espn.com/mens-college-basketball/player/_/id/5242624/jagger-bascombe
