Player Name,Team,Minutes Played,Player Link
Kam Jones,MARQUETTE,885,https://www.espn.com/mens-college-basketball/player/_/id/4697268/kam-jones
David Joplin,MARQUETTE,850,https://www.espn.com/mens-college-basketball/player/_/id/4684306/david-joplin
Chase Ross,MARQUETTE,814,https://www.espn.com/mens-college-basketball/player/_/id/5105598/chase-ross
Stevie Mitchell,MARQUETTE,708,https://www.espn.com/mens-college-basketball/player/_/id/4683840/stevie-mitchell
Ben Gold,MARQUETTE,675,https://www.espn.com/mens-college-basketball/player/_/id/5105599/ben-gold
Royce Parham,MARQUETTE,400,https://www.espn.com/mens-college-basketball/player/_/id/5101676/royce-parham
Zaide Lowery,MARQUETTE,366,https://www.espn.com/mens-college-basketball/player/_/id/4895750/zaide-lowery
Damarius Owens,MARQUETTE,253,https://www.espn.com/mens-college-basketball/player/_/id/5061595/damarius-owens
Tre Norman,MARQUETTE,275,https://www.espn.com/mens-college-basketball/player/_/id/4895745/tre-norman
Caedin Hamilton,MARQUETTE,166,https://www.espn.com/mens-college-basketball/player/_/id/5175364/caedin-hamilton
Cameron Brown,MARQUETTE,6,https://www.espn.com/mens-college-basketball/player/_/id/4897414/cameron-brown
Jack Anderson,MARQUETTE,9,https://www.espn.com/mens-college-basketball/player/_/id/4904830/jack-anderson
Jake Ciardo,MARQUETTE,6,https://www.espn.com/mens-college-basketball/player/_/id/5119398/jake-ciardo
Jonah Lucas,MARQUETTE,5,https://www.espn.com/mens-college-basketball/player/_/id/5105602/jonah-lucas
Casey O'Malley,MARQUETTE,6,https://www.espn.com/mens-college-basketball/player/_/id/5175365/casey-omalley
