Player Name,Team,Minutes Played,Player Link
Obinna Anochili-Killen,MARSHALL,731,https://www.espn.com/mens-college-basketball/player/_/id/4432441/obinna-anochili-killen
Mikal Dawson,MARSHALL,878,https://www.espn.com/mens-college-basketball/player/_/id/4609661/mikal-dawson
Dezayne Mingo,MARSHALL,891,https://www.espn.com/mens-college-basketball/player/_/id/5240545/dezayne-mingo
Jalen Speer,MARSHALL,763,https://www.espn.com/mens-college-basketball/player/_/id/4704015/jalen-speer
Nate Martin,MARSHALL,820,https://www.espn.com/mens-college-basketball/player/_/id/4702068/nate-martin
Wyatt Fricks,MARSHALL,356,https://www.espn.com/mens-college-basketball/player/_/id/4897504/wyatt-fricks
Ryan Nutter,MARSHALL,347,https://www.espn.com/mens-college-basketball/player/_/id/5176560/ryan-nutter
Creighton Thieneman,MARSHALL,7,https://www.espn.com/mens-college-basketball/player/_/id/4897506/creighton-thieneman
Cade Gibbs,MARSHALL,355,https://www.espn.com/mens-college-basketball/player/_/id/5115346/cade-gibbs
William Moore,MARSHALL,107,https://www.espn.com/mens-college-basketball/player/_/id/5240548/william-moore
Jakob Gibbs,MARSHALL,306,https://www.espn.com/mens-college-basketball/player/_/id/5115347/jakob-gibbs
Kycen Pruett,MARSHALL,15,https://www.espn.com/mens-college-basketball/player/_/id/5176561/kycen-pruett
Kaiden White,MARSHALL,61,https://www.espn.com/mens-college-basketball/player/_/id/5240546/kaiden-white
Erich Harding,MARSHALL,67,https://www.espn.com/mens-college-basketball/player/_/id/5240547/erich-harding
Kai Spears,MARSHALL,115,https://www.espn.com/mens-college-basketball/player/_/id/5105514/kai-spears
Grant Moore,MARSHALL,5,https://www.espn.com/mens-college-basketball/player/_/id/5240549/grant-moore
