Player Name,Team,Minutes Played,Player Link
Ketron Shaw,MARYLAND EASTERN SHORE,873,https://www.espn.com/mens-college-basketball/player/_/id/5243387/ketron-shaw
Evan Johnson,MARYLAND EASTERN SHORE,578,https://www.espn.com/mens-college-basketball/player/_/id/4702109/evan-johnson
Christopher Flippin,MARYLAND EASTERN SHORE,661,https://www.espn.com/mens-college-basketball/player/_/id/5243393/christopher-flippin
Kyrell Shaw,MARYLAND EASTERN SHORE,496,https://www.espn.com/mens-college-basketball/player/_/id/5243389/kyrell-shaw
Cardell Bailey,MARYLAND EASTERN SHORE,455,https://www.espn.com/mens-college-basketball/player/_/id/5243390/cardell-bailey
Jalen Ware,MARYLAND EASTERN SHORE,429,https://www.espn.com/mens-college-basketball/player/_/id/4897238/jalen-ware
Hassan Perkins,MARYLAND EASTERN SHORE,369,https://www.espn.com/mens-college-basketball/player/_/id/4896959/hassan-perkins
Jose Cuello,MARYLAND EASTERN SHORE,344,https://www.espn.com/mens-college-basketball/player/_/id/5243391/jose-cuello
Maurice Vassel,MARYLAND EASTERN SHORE,390,https://www.espn.com/mens-college-basketball/player/_/id/4873199/maurice-vassel
Trey Hall,MARYLAND EASTERN SHORE,90,https://www.espn.com/mens-college-basketball/player/_/id/4703893/trey-hall
Lawrence Foreman,MARYLAND EASTERN SHORE,25,https://www.espn.com/mens-college-basketball/player/_/id/4705269/lawrence-foreman
Ralph Martino Jr.,MARYLAND EASTERN SHORE,285,https://www.espn.com/mens-college-basketball/player/_/id/5243388/ralph-martino-jr
Jaiden Lee,MARYLAND EASTERN SHORE,6,https://www.espn.com/mens-college-basketball/player/_/id/5243392/jaiden-lee
