Player Name,Team,Minutes Played,Player Link
Derik Queen,MARYLAND,799,https://www.espn.com/mens-college-basketball/player/_/id/4869780/derik-queen
Ja'Kobi Gillespie,MARYLAND,833,https://www.espn.com/mens-college-basketball/player/_/id/5107968/jakobi-gillespie
Julian Reese,MARYLAND,750,https://www.espn.com/mens-college-basketball/player/_/id/4683742/julian-reese
Rodney Rice,MARYLAND,803,https://www.espn.com/mens-college-basketball/player/_/id/4684634/rodney-rice
Selton Miguel,MARYLAND,757,https://www.espn.com/mens-college-basketball/player/_/id/4433187/selton-miguel
Tafara Gapare,MARYLAND,306,https://www.espn.com/mens-college-basketball/player/_/id/5106034/tafara-gapare
DeShawn Harris-Smith,MARYLAND,426,https://www.espn.com/mens-college-basketball/player/_/id/4848622/deshawn-harris-smith
Braden Pierce,MARYLAND,36,https://www.espn.com/mens-college-basketball/player/_/id/5142360/braden-pierce
Jay Young,MARYLAND,309,https://www.espn.com/mens-college-basketball/player/_/id/5106644/jay-young
Jordan Geronimo,MARYLAND,172,https://www.espn.com/mens-college-basketball/player/_/id/4432512/jordan-geronimo
Malachi Palmer,MARYLAND,168,https://www.espn.com/mens-college-basketball/player/_/id/5239554/malachi-palmer
Chance Stephens,MARYLAND,36,https://www.espn.com/mens-college-basketball/player/_/id/5105459/chance-stephens
Ben Murphy,MARYLAND,17,https://www.espn.com/mens-college-basketball/player/_/id/5181258/ben-murphy
Lukas Sotell,MARYLAND,12,https://www.espn.com/mens-college-basketball/player/_/id/5181259/lukas-sotell
